,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,PHI,25,897,1004,47.2,-1.7,665,757,46.8,-3.1,8.5,92.8,101.,45.8,54.2
2,2008-09,PHI,26,1105,1233,47.3,-2.6,838,913,47.9,-3.2,10.4,92.5,102.,43.5,56.5
3,2009-10,PHI,27,1081,998,52.0,-0.6,821,747,52.4,-1.3,7.2,91.5,98.7,49.9,50.1
4,2010-11,PHI,28,1105,1132,49.4,-2.5,821,816,50.2,-2.3,10.7,91.2,101.,53.2,46.8
5,2011-12,PHI,29,1285,1092,54.1,2.4,949,825,53.5,1.7,10.0,92.2,102.,53.2,46.8
6,2012-13,PHI,30,413,383,51.9,7.8,291,264,52.4,7.7,5.8,91.3,97.1,50.6,49.4
7,2013-14,PHI,31,1181,960,55.2,4.2,839,697,54.6,3.8,9.0,92.7,101.,59.8,40.2
8,2014-15,CBJ,32,1112,1026,52.0,5.9,837,783,51.7,5.8,9.7,89.7,99.4,50.7,49.3
9,2015-16,CBJ,33,974,971,50.1,2.8,731,718,50.4,2.7,9.6,88.8,98.4,53.0,47.0
10,2016-17,CBJ,34,227,231,49.6,-0.3,166,171,49.3,-0.2,12.1,93.6,105.,54.1,45.9
