,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2000-01,MIN,18,71,32,-6,12,6,0,3,12,6,0,10.1,,10.1,,15:26,,,,
2,2001-02,MIN,19,78,34,0,20,10,0,4,21,16,0,13.6,,13.6,,16:47,,,,
3,2002-03,MIN,20,81,46,12,24,5,1,8,18,16,1,10.7,,10.7,,17:24,,,,
4,2003-04,MIN,21,65,20,10,15,3,0,4,14,8,0,8.2,,8.2,,18:17,,,,
5,2005-06,MIN,23,65,64,6,26,10,2,7,15,12,1,15.1,,15.1,,18:26,,,,
6,2006-07,MIN,24,48,40,12,17,12,1,7,17,10,0,15.3,,15.3,,19:38,,,,
7,2007-08,MIN,25,77,63,17,30,11,1,8,28,13,0,15.1,451,15.1,451,19:36,59,18,41,55
8,2008-09,MIN,26,17,2,3,10,2,1,2,5,5,0,19.1,100,19.1,100,19:00,15,5,11,11
9,2009-10,NYR,27,76,37,15,27,14,1,4,31,12,1,15.4,478,15.4,478,21:15,59,31,25,46
10,2010-11,NYR,28,62,18,8,15,7,0,4,17,9,0,11.5,324,11.5,324,18:05,46,22,34,26
11,2011-12,NYR,29,82,34,15,31,10,0,7,24,11,0,14.9,448,14.9,448,19:31,63,40,30,41
12,2012-13,TOT,30,47,14,-3,11,1,0,5,7,8,0,7.9,236,7.9,236,18:31,21,18,19,18
13,2012-13,NYR,30,35,8,-8,8,1,0,4,4,6,0,8.0,169,8.0,169,18:40,19,14,14,16
14,2012-13,CBJ,30,12,6,5,3,0,0,1,3,2,0,7.9,67,7.9,67,18:05,2,4,5,2
15,2013-14,TOT,31,41,10,7,10,1,0,0,13,6,0,10.7,175,10.7,175,17:00,15,10,11,15
16,2013-14,CBJ,31,22,6,0,6,0,0,0,6,2,0,12.8,86,12.8,86,16:25,5,5,5,6
17,2013-14,LAK,31,19,4,7,4,1,0,0,7,4,0,8.9,89,8.9,89,17:42,10,5,6,9
18,2014-15,LAK,32,69,16,7,16,11,0,2,13,7,0,15.5,288,15.5,288,16:55,39,6,18,43
19,2015-16,LAK,33,54,20,-6,11,1,0,3,7,3,0,8.5,213,8.5,213,14:57,29,17,13,18
20,2016-17,LAK,34,2,0,-1,0,0,0,0,0,1,0,0.0,9,0.0,9,13:04,0,0,0,1
