,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2005-06,MDA,20,57,22,6,4,10,0,1,11,14,0,12.1,,12.1,,12:35,,,,
2,2006-07,ANA,21,82,66,17,13,11,1,6,13,20,0,12.3,,12.3,,15:04,,,,
3,2007-08,ANA,22,77,94,32,19,4,1,2,26,32,0,13.0,303,13.0,303,19:39,126,46,44,67
4,2008-09,ANA,23,81,121,5,16,9,0,2,38,28,0,11.0,392,11.0,392,20:08,134,43,55,70
5,2009-10,ANA,24,66,79,4,11,8,0,5,36,14,0,12.8,284,12.8,284,21:40,178,49,39,54
6,2010-11,ANA,25,67,35,14,12,7,0,4,37,20,0,16.2,236,16.2,236,21:51,189,57,35,81
7,2011-12,ANA,26,82,75,-11,7,4,0,4,26,19,1,5.9,395,5.9,395,21:36,177,72,33,93
8,2012-13,ANA,27,44,41,14,8,4,3,3,23,11,0,15.2,180,15.2,180,20:12,89,42,27,31
9,2013-14,ANA,28,77,31,28,26,5,0,7,38,18,0,15.2,373,15.2,373,21:17,110,87,53,76
10,2014-15,ANA,29,77,62,15,22,3,0,6,33,10,2,13.1,357,13.1,357,20:06,100,95,55,71
11,2015-16,ANA,30,77,55,14,7,6,0,5,33,16,1,7.3,351,7.3,351,19:30,108,61,48,75
12,2016-17,ANA,31,20,12,-3,1,1,0,1,10,6,0,4.8,84,4.8,84,20:14,26,18,12,17
