,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2001-02,ATL,21,82,56,-19,19,7,0,4,29,11,1,12.9,,12.9,,19:53,,,,
2,2002-03,ATL,22,77,58,-8,21,19,1,6,28,20,0,16.3,,16.3,,21:57,,,,
3,2003-04,ATL,23,31,18,-8,8,5,0,3,5,7,0,15.7,,15.7,,19:53,,,,
4,2005-06,OTT,25,82,86,29,25,23,2,7,31,20,2,16.7,,16.7,,21:09,,,,
5,2006-07,OTT,26,82,74,31,30,17,3,10,32,22,1,16.1,,16.1,,21:02,,,,
6,2007-08,OTT,27,71,76,33,28,13,0,8,29,12,0,18.3,400,18.3,400,21:44,58,31,44,60
7,2008-09,OTT,28,82,88,-11,24,15,0,6,22,11,0,15.1,461,15.1,461,20:07,87,24,42,45
8,2009-10,SJS,29,82,54,14,20,18,1,9<,31,12,0,13.9,518,13.9,518,20:14,81,35,38,55
9,2010-11,SJS,30,80,56,8,14,11,1,5,18,19,1,12.0,404,12.0,404,19:39,104,29,29,68
10,2011-12,MIN,31,82,28,2,16,8,0,3,18,11,0,10.1,434,10.1,434,20:57,70,45,33,33
11,2012-13,MIN,32,36,8,-12,8,3,0,1,6,4,0,13.3,135,13.3,135,18:32,26,22,8,8
12,2013-14,MIN,33,76,18,-18,8,4,0,2,10,6,0,10.9,202,10.9,202,14:49,33,30,21,19
13,2014-15,ANA,34,6,0,-3,0,0,0,0,0,0,0,0.0,13,0.0,13,12:08,5,3,1,0
