,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2000-01,ATL,20,11,38,-3,0,0,0,0,0,0,0,0.0,,0.0,,7:18,,,,
2,2001-02,TOT,21,34,141,-5,1,0,0,0,1,0,0,12.5,,12.5,,6:05,,,,
3,2001-02,ATL,21,33,127,-5,1,0,0,0,1,0,0,12.5,,12.5,,6:03,,,,
4,2001-02,PHX,21,1,14,0,0,0,0,0,0,0,0,</td,,</td,,7:18,,,,
5,2002-03,TOT,22,28,97,-2,0,0,0,0,0,0,0,0.0,,0.0,,5:19,,,,
6,2002-03,PHX,22,25,82,-1,0,0,0,0,0,0,0,0.0,,0.0,,4:47,,,,
7,2002-03,FLA,22,3,15,-1,0,0,0,0,0,0,0,0.0,,0.0,,9:45,,,,
8,2003-04,FLA,23,57,158,-10,3,0,0,1,1,0,0,11.1,,11.1,,6:46,,,,
9,2005-06,NSH,25,74,163,9,7,0,0,1,5,1,0,13.5,,13.5,,6:09,,,,
10,2006-07,NSH,26,53,90,-2,1,0,0,0,3,0,0,4.5,,4.5,,4:48,,,,
11,2007-08,NSH,27,45,60,-1,1,0,0,1,2,0,0,5.6,29,5.6,29,5:09,64,3,4,2
12,2008-09,VAN,28,73,109,1,4,0,0,0,1,0,0,15.4,41,15.4,41,5:32,110,8,11,6
13,2009-10,VAN,29,56,142,-7,1,0,0,0,1,0,0,4.8,35,4.8,35,6:02,108,4,7,7
14,2010-11,FLA,30,64,76,-1,1,0,0,0,4,0,0,3.1,60,3.1,60,5:04,116,4,5,6
15,2011-12,EDM,31,43,64,-3,1,0,0,0,2,0,0,3.7,37,3.7,37,4:21,67,2,4,5
16,2012-13,EDM,32,4,2,-1,0,0,0,0,0,0,0,</td,0,</td,0,2:02,6,0,0,0
