,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2003-04,NYR,23,5,0,0,0,0,0,0,1,2,0,0.0,,0.0,,9:18,,,,
2,2005-06,NYR,25,82,28,4,7,2,0,1,7,2,0,6.5,,6.5,,12:28,,,,
3,2006-07,TOT,26,69,56,4,8,0,0,1,9,0,0,7.2,,7.2,,12:39,,,,
4,2006-07,PIT,26,59,46,1,6,0,0,0,9,0,0,6.0,,6.0,,13:04,,,,
5,2006-07,MIN,26,10,10,3,2,0,0,1,0,0,0,18.2,,18.2,,10:12,,,,
6,2007-08,TOT,27,68,24,-4,4,1,0,0,12,0,0,5.0,178,5.0,178,13:18,40,29,24,22
7,2007-08,MIN,27,30,10,-11,1,0,0,0,2,0,0,3.6,58,3.6,58,11:57,16,16,11,6
8,2007-08,TOR,27,38,14,7,3,1,0,0,10,0,0,5.6,120,5.6,120,14:21,24,13,13,16
9,2008-09,TOT,28,81,92,-2,8,4,1,1,27,5,0,7.9,311,7.9,311,16:50,72,37,41,44
10,2008-09,TOR,28,63,69,-1,7,4,1,1,25,4,0,9.1,245,9.1,245,17:18,63,29,31,28
11,2008-09,BUF,28,18,23,-1,1,0,0,0,2,1,0,3.0,66,3.0,66,15:12,9,8,10,16
12,2009-10,TOT,29,69,43,-3,6,2,2,0,18,0,0,8.4,214,8.4,214,14:50,57,34,36,12
13,2009-10,FLA,29,48,35,-7,5,2,1,0,9,0,0,9.9,144,9.9,144,14:55,39,26,27,7
14,2009-10,MTL,29,21,8,4,1,0,1,0,9,0,0,5.3,70,5.3,70,14:40,18,8,9,5
15,2010-11,TBL,30,77,52,-12,12,6,0,3,13,1,0,10.3,268,10.3,268,15:36,80,42,32,25
16,2011-12,TOT,31,79,54,-18,3,0,1,1,18,3,0,3.9,197,3.9,197,15:32,52,23,25,20
17,2011-12,TBL,31,56,48,-10,3,0,1,1,12,3,0,5.4,140,5.4,140,16:17,37,17,16,16
18,2011-12,SJS,31,23,6,-8,0,0,0,0,6,0,0,0.0,57,0.0,57,13:43,15,6,9,4
19,2013-14,NYR,33,73,18,0,5,0,1,1,10,0,2,6.3,145,6.3,145,11:44,62,24,18,11
20,2014-15,NYR,34,82,28,5,8,0,2,3,16,1,0,8.6,203,8.6,203,13:49,54,45,30,19
21,2015-16,NYR,35,80,32,-2,6,0,0,2,9,0,0,6.4,150,6.4,150,13:18,51,35,24,36
22,2016-17,BOS,36,23,12,2,4,0,2<,1,3,0,0,21.4,44,21.4,44,13:10,12,15,6,7
