,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2002-03,DAL,20,26,31,6,3,0,0,0,4,0,0,12.0,,12.0,,8:46,,,,
2,2003-04,DAL,21,73,152,-2,2,0,0,1,8,2,0,2.7,,2.7,,10:14,,,,
3,2005-06,DAL,23,82,178,1,5,0,0,1,17,0,0,5.6,,5.6,,11:54,,,,
4,2006-07,DAL,24,19,35,-4,0,0,0,0,3,1,0,0.0,,0.0,,9:11,,,,
5,2007-08,DAL,25,73,147,2,10,0,1,2,8,1,2,12.4,174,12.4,174,14:28,182,26,35,41
6,2008-09,DAL,26,64,135,3,14,5,0,0,20,7,0,14.4,232,14.4,232,17:35,220,23,21,32
7,2009-10,DAL,27,73,153,-14,13,8,1,2,10,3,1,15.1,238,15.1,238,16:28,251,19,25,30
8,2010-11,DAL,28,82,183,-9,7,3,2,4,11,7,2,10.0,214,10.0,214,17:09,252,44,25,43
9,2011-12,DAL,29,74,156,5,7,4,0,2,22,4,2,10.2,217,10.2,217,18:21,278,27,26,25
10,2012-13,BUF,30,48,93,3,7,2,0,3,12,1,2,12.3,126,12.3,126,18:33,187,21,10,24
11,2013-14,TOT,31,82,92,-38,3,6,0,1,12,2,0,7.1,199,7.1,199,18:14,246,35,15,28
12,2013-14,BUF,31,59,55,-26,3,6,0,1,9,2,0,9.1,155,9.1,155,19:42,194,29,11,26
13,2013-14,STL,31,23,37,-12,0,0,0,0,3,0,0,0.0,44,0.0,44,14:27,52,6,4,2
14,2014-15,STL,32,78,86,-8,3,0,0,0,9,0,0,6.1,105,6.1,105,11:38,182,14,21,8
15,2015-16,STL,33,21,34,-3,0,0,0,0,2,0,0,0.0,30,0.0,30,10:55,34,5,3,1
16,2016-17,DET,34,19,28,1,2,0,0,0,1,0,0,10.5,25,10.5,25,10:09,39,5,4,1
