,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2002-03,EDM,20,4,0,-3,0,0,0,0,1,0,0,0.0,,0.0,,7:44,,,,
2,2003-04,EDM,21,68,42,8,8,1,1,2,10,1,0,9.3,,9.3,,13:54,,,,
3,2005-06,EDM,23,82,74,4,10,11,1,4,25,20,1,9.1,,9.1,,18:23,,,,
4,2006-07,EDM,24,51,48,2,6,6,1,2,14,11,1,11.3,,11.3,,18:12,,,,
5,2007-08,EDM,25,81,74,-23,3,8,3,1,8,13,1,7.5,332,7.5,332,17:56,122,61,39,35
6,2008-09,LAK,26,74,68,-7,8,10,0,1,11,12,0,11.6,281,11.6,281,17:05,160,41,26,28
7,2009-10,LAK,27,73,40,13,12,4,0,4,13,17,1,9.8,284,9.8,284,17:25,189,34,17,24
8,2010-11,LAK,28,82,42,-6,15,4,1,5,13,8,2,10.7,337,10.7,337,17:10,164,41,31,26
9,2011-12,LAK,29,78,60,2,5,1,0,0,8,7,0,4.5,243,4.5,243,16:41,165,46,18,16
10,2012-13,LAK,30,48,28,1,5,1,1,3,6,4,1,9.6,120,9.6,120,16:31,107,44,8,12
11,2013-14,LAK,31,78,48,9,7,1,0,0,15,3,1,7.3,207,7.3,207,15:52,202,60,14,20
12,2014-15,LAK,32,73,58,3,3,3,0,2,8,1,2,7.2,133,7.2,133,15:29,162,53,10,16
13,2015-16,TOT,33,80,36,-1,4,0,0,0,5,0,0,8.2,78,8.2,78,12:11,117,69,8,11
14,2015-16,NYR,33,29,20,3,1,0,0,0,2,0,0,3.8,37,3.8,37,13:47,58,21,6,6
15,2015-16,MIN,33,51,16,-4,3,0,0,0,3,0,0,13.0,41,13.0,41,11:16,59,48,2,5
