,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2002-03,PHX,21,20,4,-4,2,1,0,1,1,0,0,16.7,,16.7,,11:34,,,,
2,2003-04,PHX,22,59,20,-8,3,5,0,0,5,5,0,11.9,,11.9,,11:02,,,,
3,2005-06,TOT,24,4,0,0,0,0,0,0,0,0,0,0.0,,0.0,,6:27,,,,
4,2005-06,NYR,24,2,0,0,0,0,0,0,0,0,0,0.0,,0.0,,3:49,,,,
5,2005-06,PHX,24,2,0,0,0,0,0,0,0,0,0,0.0,,0.0,,9:06,,,,
6,2006-07,PHX,25,17,2,-7,3,1,0,0,0,2,0,11.8,,11.8,,14:12,,,,
7,2007-08,PIT,26,45,8,2,4,1,0,1,5,2,0,8.9,98,8.9,98,9:35,52,10,9,7
8,2008-09,PIT,27,8,2,-4,0,0,0,0,0,2,0,0.0,9,0.0,9,8:30,3,0,0,1
9,2009-10,FLA,28,21,4,-1,1,0,0,0,1,0,0,5.6,27,5.6,27,8:25,27,7,6,4
10,2010-11,CHI,29,1,0,0,0,0,0,0,0,0,0,</td,0,</td,0,4:05,0,0,0,0
11,2011-12,MIN,30,5,0,2,0,0,0,0,2,0,0,0.0,13,0.0,13,12:55,7,2,0,1
