,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2001-02,NYI,20,14,6,2,0,0,0,0,1,0,0,0.0,,0.0,,7:35,,,,
2,2002-03,NYI,21,17,10,0,0,0,0,0,5,0,0,0.0,,0.0,,7:40,,,,
3,2003-04,EDM,22,80,65,12,15,5,0,3,13,1,0,14.7,,14.7,,12:38,,,,
4,2005-06,EDM,24,82,50,4,21,6,0,3,9,5,0,16.5,,16.5,,13:24,,,,
5,2006-07,EDM,25,82,88,-7,14,1,0,0,19,0,0,9.7,,9.7,,14:19,,,,
6,2007-08,EDM,26,32,36,-4,4,1,0,2,5,1,0,5.7,137,5.7,137,17:01,55,10,9,26
7,2008-09,CBJ,27,51,23,-4,10,2,0,6,8,0,0,16.2,112,16.2,112,12:06,75,7,5,11
8,2009-10,TOT,28,74,34,-11,12,7,0,3,14,3,0,15.8,195,15.8,195,13:32,84,15,21,28
9,2009-10,CBJ,28,60,32,-8,12,7,0,3,10,2,0,19.2,156,19.2,156,13:34,71,11,16,22
10,2009-10,BUF,28,14,2,-3,0,0,0,0,4,1,0,0.0,39,0.0,39,13:21,13,4,5,6
11,2010-11,VAN,29,80,78,4,11,3,0,4,14,1,0,12.2,179,12.2,179,12:29,134,19,31,24
12,2011-12,PHX,30,79,83,2,14,1,0,1,11,0,0,15.2,155,15.2,155,11:22,128,21,18,22
13,2012-13,TOT,31,39,17,0,6,1,0,0,11,0,0,11.7,101,11.7,101,13:16,87,15,12,16
14,2012-13,PHX,31,28,13,-1,5,0,0,0,7,0,0,12.5,67,12.5,67,12:00,49,13,6,9
15,2012-13,SJS,31,11,4,1,1,1,0,0,4,0,0,10.0,34,10.0,34,13:57,38,2,6,7
16,2013-14,SJS,32,5,7,4,3,0,0,0,2,0,0,33.3,14,33.3,14,10:22,9,2,1,1
