,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2003-04,OTT,21,57,16,5,6,0,1,0,6,0,1,11.1,,11.1,,11:59,,,,
2,2005-06,OTT,23,82,44,17,14,1,6,4,10,1,1,17.1,,17.1,,12:35,,,,
3,2006-07,OTT,24,77,52,-2,14,2,3,2,16,3,1,12.6,,12.6,,15:42,,,,
4,2007-08,OTT,25,81,51,3,17,4,3,3,20,6,3,13.7,280,13.7,280,17:35,49,25,29,49
5,2008-09,TOT,26,79,50,-7,12,3,1,1,16,9,0,9.2,273,9.2,273,18:22,80,32,39,33
6,2008-09,OTT,26,62,42,-12,7,2,0,0,11,8,0,6.4,227,6.4,227,18:03,64,26,35,32
7,2008-09,CBJ,26,17,8,5,5,1,1,1,5,1,0,21.2,46,21.2,46,19:29,16,6,4,1
8,2009-10,CBJ,27,82,32,2,19,6,2,1,32,6,0,17.3,253,17.3,253,20:09,91,40,33,28
9,2010-11,CBJ,28,82,60,0,15,3,1,3,21,7,0,10.4,321,10.4,321,18:49,123,47,35,23
10,2011-12,TOT,29,82,28,-13,6,4,1,4,20,5,1,7.4,254,7.4,254,17:12,124,48,44,34
11,2011-12,CBJ,29,60,12,-17,5,2,1,3,13,5,1,7.5,182,7.5,182,17:14,66,32,35,25
12,2011-12,PHX,29,22,16,4,1,2,0,1,7,0,0,7.0,72,7.0,72,17:07,58,16,9,9
13,2012-13,PHX,30,48,36,-3,10,3,0,3,8,0,0,14.3,157,14.3,157,18:15,63,35,24,7
14,2013-14,PHX,31,82,44,0,14,7,3,4,15,6,0,15.0,247,15.0,247,19:13,90,71,42,22
15,2014-15,TOT,32,82,40,-25,7,6,0,1,17,8,0,11.9,188,11.9,188,17:51,80,50,30,36
16,2014-15,ARI,32,63,34,-23,7,6,0,1,15,7,0,15.3,146,15.3,146,18:59,71,41,25,31
17,2014-15,CHI,32,19,6,-2,0,0,0,0,2,1,0,0.0,42,0.0,42,14:04,9,9,5,5
18,2015-16,ARI,33,76,93,-14,10,6,1,2,11,10,0,13.8,191,13.8,191,16:39,55,57,27,33
19,2016-17,ANA,34,23,18,0,3,1,0,0,4,1,0,10.3,66,10.3,66,15:53,21,16,5,8
