,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2000-01,LAK,24,81,36,16,4,3,0,3,21,11,0,6.7,,6.7,,16:58,,,,
2,2001-02,LAK,25,72,14,-5,3,1,0,2,12,5,0,4.2,,4.2,,16:15,,,,
3,2002-03,LAK,26,57,28,2,7,1,0,1,10,6,0,9.4,,9.4,,19:20,,,,
4,2003-04,LAK,27,58,26,8,3,5,0,0,9,12,0,7.0,,7.0,,24:02,,,,
5,2005-06,LAK,29,80,50,7,7,10,0,3,19,31,0,11.2,,11.2,,23:16,,,,
6,2006-07,LAK,30,69,26,1,10,8,0,0,15,25,0,11.3,,11.3,,24:27,,,,
7,2007-08,LAK,31,82,34,-18,5,3,0,1,13,19,1,5.2,340,5.2,340,22:00,60,118,40,91
8,2008-09,EDM,32,50,30,6,3,5,0,1,11,12,0,9.3,200,9.3,200,23:01,27,82,18,53
9,2009-10,TOT,33,73,20,-10,10,5,0,2,12,18,0,11.5,296,11.5,296,21:54,37,105,40,73
10,2009-10,EDM,33,57,16,-4,6,4,0,1,9,13,0,12.8,193,12.8,193,20:45,32,82,29,60
11,2009-10,ANA,33,16,4,-6,4,1,0,1,3,5,0,9.4,103,9.4,103,25:00,5,23,11,13
12,2010-11,ANA,34,81,24,18,13,5,0,4,24,26,0,11.8,339,11.8,339,24:18,52,116,30,45
13,2011-12,ANA,35,68,47,7,5,1,0,1,12,9,0,5.4,243,5.4,243,20:47,63,78,22,35
14,2012-13,NYI,36,35,20,12,2,1,0,0,4,7,0,4.3,143,4.3,143,22:48,20,52,13,30
15,2013-14,NYI,37,24,10,-1,1,2,0,1,3,5,0,8.8,84,8.8,84,20:32,14,26,15,18
16,2014-15,NYI,38,53,8,-3,3,2,0,1,12,3,0,5.9,181,5.9,181,19:32,38,61,46,46
