,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2002-03,OTT,20,57,40,-4,3,0,0,0,10,3,0,4.0,,4.0,,15:30,,,,
2,2003-04,OTT,21,19,8,1,1,0,0,0,2,0,0,6.7,,6.7,,13:04,,,,
3,2005-06,OTT,23,75,53,21,4,0,0,0,12,0,1,4.9,,4.9,,18:03,,,,
4,2006-07,OTT,24,78,67,37,1,0,0,0,13,1,4,1.2,,1.2,,21:17,,,,
5,2007-08,OTT,25,67,55,14,1,0,0,1,11,0,3,1.4,169,1.4,169,20:31,153,209,23,32
6,2008-09,OTT,26,68,36,-10,2,0,0,1,6,0,2,2.5,183,2.5,183,20:08,182,180,23,29
7,2009-10,OTT,27,64,38,2,4,0,0,0,9,0,1,5.8,162,5.8,162,20:41,152,171,17,39
8,2010-11,NJD,28,57,36,3,0,0,0,0,8,0,0,0.0,132,0.0,132,18:06,125,106,7,19
9,2011-12,NJD,29,72,34,3,2,0,0,1,8,0,1,3.2,147,3.2,147,17:59,177,125,14,15
10,2012-13,NJD,30,37,37,-1,1,0,0,0,4,0,0,2.6,77,2.6,77,16:03,51,50,7,10
11,2013-14,NJD,31,56,20,3,0,0,0,0,7,0,1,0.0,114,0.0,114,16:47,129,91,9,9
12,2014-15,NSH,32,46,14,4,0,0,0,0,7,0,0,0.0,79,0.0,79,13:11,93,48,3,13
