,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2000-01,PHI,19,63,22,6,12,0,0,0,9,4,0,12.1,,12.1,,12:31,,,,
2,2001-02,PHI,20,75,32,11,17,0,0,1,21,1,1,10.5,,10.5,,14:27,,,,
3,2002-03,PHI,21,41,22,15,8,0,0,2,14,2,0,7.6,,7.6,,15:57,,,,
4,2003-04,TOT,22,79,64,12,7,4,0,1,26,7,0,5.4,,5.4,,16:52,,,,
5,2003-04,PHI,22,47,32,10,3,3,0,1,18,2,0,5.6,,5.6,,15:30,,,,
6,2003-04,CAR,22,32,32,2,4,1,0,0,8,5,0,5.2,,5.2,,18:52,,,,
7,2005-06,CAR,24,82,60,1,19,8,4,4,26,17,2,12.2,,12.2,,21:08,,,,
8,2006-07,CAR,25,82,73,-11,19,12,2,8,19,12,3,12.8,,12.8,,20:51,,,,
9,2007-08,CAR,26,37,43,2,7,2,0,0,15,6,0,8.5,184,8.5,184,19:18,43,23,27,25
10,2008-09,TOT,27,44,17,-8,1,3,0,0,7,3,0,3.7,184,3.7,184,15:53,40,9,20,21
11,2008-09,CAR,27,32,9,-9,1,2,0,0,4,3,0,3.8,132,3.8,132,15:08,30,6,16,13
12,2008-09,LAK,27,12,8,1,0,1,0,0,3,0,0,3.6,52,3.6,52,17:51,10,3,4,8
13,2009-10,LAK,28,49,39,3,9,1,0,1,13,6,0,7.1,235,7.1,235,16:23,34,17,18,35
14,2010-11,LAK,29,73,59,14,17,5,0,3,27,8,0,10.3,386,10.3,386,17:15,51,29,26,64
15,2011-12,LAK,30,82,44,10,13,9,0,2,27,10,0,9.1,419,9.1,419,17:09,36,37,32,61
16,2012-13,LAK,31,48,22,15,10,1,0,3,17,5,0,7.7,250,7.7,250,16:59,29,12,15,28
17,2013-14,LAK,32,82,48,14,15,4,0,1,21,3,0,7.9,404,7.9,404,16:57,44,21,25,75
18,2014-15,LAK,33,81,29,8,14,4,0,2,14,9,0,10.3,307,10.3,307,15:49,29,24,25,57
19,2015-16,WSH,34,82,36,15,19,3,0,3,23,6,1,10.9,325,10.9,325,16:39,32,43,37,48
20,2016-17,WSH,35,21,16,-3,1,1,0,0,2,0,0,4.8,86,4.8,86,15:52,5,10,11,10
