,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2005-06,NSH,25,4,6,0,0,0,0,0,1,0,1,0.0,,0.0,,17:19,,,,
2,2006-07,NSH,26,66,32,16,3,0,0,0,5,0,0,7.0,,7.0,,17:20,,,,
3,2007-08,NSH,27,78,24,-5,0,0,0,0,5,0,0,0.0,95,0.0,95,18:28,160,176,36,25
4,2008-09,NSH,28,82,38,8,4,0,0,1,6,0,1,7.4,132,7.4,132,20:51,153,237,40,31
5,2009-10,MIN,29,81,36,-10,2,0,0,0,13,0,0,3.4,146,3.4,146,22:22,183,196,25,39
6,2010-11,MIN,30,82,48,-5,0,0,0,0,5,1,1,0.0,142,0.0,142,21:33,169,212,21,28
7,2011-12,TOT,31,56,18,3,3,0,0,2,5,0,0,7.3,96,7.3,96,17:48,116,136,11,13
8,2011-12,MIN,31,39,14,-1,2,0,0,1,4,0,0,7.4,57,7.4,57,18:37,77,104,10,10
9,2011-12,BOS,31,17,4,4,1,0,0,1,1,0,0,7.1,39,7.1,39,15:54,39,32,1,3
10,2012-13,COL,32,44,28,-16,0,0,0,0,5,0,1,0.0,86,0.0,86,19:20,65,124,14,16
