,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,SJS,24,367,319,53.5,-2.3,297,234,55.9,-1.5,5.0,84.0,89.1,49.8,50.2
2,2008-09,SJS,25,569,467,54.9,-0.7,443,363,55.0,-1.2,5.2,91.7,96.9,49.0,51.0
3,2009-10,NSH,26,909,802,53.1,1.2,670,614,52.2,0.1,8.8,92.7,101.,37.7,62.3
4,2010-11,NSH,27,653,634,50.7,-1.2,484,503,49.0,-1.6,10.5,92.5,102.,44.0,56.0
5,2011-12,FLA,28,768,702,52.2,3.9,595,516,53.6,5.8,8.0,92.5,100.,37.5,62.5
6,2012-13,FLA,29,526,544,49.2,-1.0,385,425,47.5,-2.4,8.6,90.4,98.9,52.8,47.2
7,2013-14,TOT,30,865,837,50.8,-1.0,627,627,50.0,-1.9,8.0,91.4,99.4,40.4,59.6
8,2013-14,FLA,30,786,706,52.7,0.9,578,526,52.4,0.1,7.8,90.3,98.0,42.6,57.4
9,2013-14,PIT,30,79,131,37.6,-14.,49,101,32.7,-17.,10.5,97.3,107.,22.5,77.5
10,2014-15,TOT,31,523,523,50.0,-2.9,390,389,50.1,-3.2,4.6,94.6,99.2,45.2,54.8
11,2014-15,PIT,31,297,301,49.7,-2.9,224,226,49.8,-2.9,5.5,93.2,98.7,43.4,56.6
12,2014-15,STL,31,226,222,50.4,-2.9,166,163,50.5,-3.6,3.4,96.6,100.,47.7,52.3
