,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,EDM,24,958,995,49.1,3.3,724,738,49.5,2.6,9.1,90.8,99.9,51.3,48.7
2,2008-09,EDM,25,990,916,51.9,5.1,736,709,50.9,3.4,8.7,91.8,100.,50.0,50.0
3,2009-10,EDM,26,292,273,51.7,9.6,211,201,51.2,10.1,11.1,93.8,104.,44.1,55.9
4,2010-11,EDM,27,601,668,47.4,2.3,438,503,46.5,2.7,11.6,90.3,101.,53.4,46.6
5,2011-12,EDM,28,982,962,50.5,3.4,735,702,51.1,2.7,6.8,91.8,98.6,51.2,48.8
6,2012-13,EDM,29,386,503,43.4,-3.3,284,390,42.1,-6.2,7.4,92.4,99.8,51.7,48.3
7,2013-14,TOT,30,936,961,49.3,-1.0,704,719,49.5,0.0,8.5,89.6,98.1,48.5,51.5
8,2013-14,EDM,30,629,704,47.2,-0.2,466,510,47.7,0.3,7.3,90.3,97.6,45.5,54.5
9,2013-14,OTT,30,307,257,54.4,-1.6,238,209,53.2,-0.1,10.8,87.8,98.6,55.7,44.3
10,2014-15,DAL,31,953,867,52.4,0.3,682,639,51.6,-0.9,8.3,89.8,98.1,58.5,41.5
11,2015-16,DAL,32,938,796,54.1,2.2,690,577,54.5,2.5,9.7,90.8,100.,49.8,50.2
12,2016-17,DAL,33,13,12,52.0,6.8,9,9,50.0,-0.8,0.0,100.,100.,50.0,50.0
