,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,STL,24,623,809,43.5,-6.1,510,596,46.1,-4.5,7.8,88.8,96.6,40.3,59.7
2,2008-09,STL,25,780,937,45.4,-4.8,612,696,46.8,-4.8,5.9,91.9,97.8,32.1,67.9
3,2009-10,STL,26,837,1007,45.4,-8.9,635,786,44.7,-9.8,8.7,92.4,101.,39.3,60.7
4,2010-11,TOT,27,905,1017,47.1,-6.0,689,759,47.6,-4.7,6.7,90.1,96.8,37.9,62.1
5,2010-11,STL,27,676,719,48.5,-4.4,518,537,49.1,-3.4,7.9,89.3,97.2,42.3,57.7
6,2010-11,COL,27,229,298,43.5,-10.,171,222,43.5,-8.2,3.3,92.0,95.3,28.8,71.2
7,2011-12,COL,28,679,764,47.1,-6.8,502,593,45.8,-7.3,7.8,91.4,99.1,32.8,67.2
8,2012-13,TOR,29,355,650,35.3,-12.,259,458,36.1,-10.,11.6,93.1,104.,27.1,72.9
9,2013-14,TOR,30,610,952,39.1,-6.0,436,700,38.4,-6.1,6.8,93.7,100.,27.3,72.7
10,2014-15,CAR,31,695,910,43.3,-11.,523,651,44.5,-9.1,9.9,90.2,100.,38.9,61.1
11,2015-16,CAR,32,577,680,45.9,-6.8,436,524,45.4,-6.6,5.7,89.6,95.3,41.0,59.0
12,2016-17,CAR,33,165,176,48.4,-6.1,121,134,47.5,-5.5,4.5,90.3,94.8,41.7,58.3
