,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,MTL,25,929,1012,47.9,-0.1,687,741,48.1,0.5,10.9,92.5,103.,47.4,52.6
2,2008-09,MTL,26,952,972,49.5,3.4,698,715,49.4,3.3,7.3,91.4,98.7,47.3,52.7
3,2009-10,MTL,27,1048,1214,46.3,-4.3,758,860,46.8,-4.1,9.9,92.6,102.,43.8,56.2
4,2010-11,MTL,28,1127,1068,51.3,0.2,845,794,51.6,-0.7,8.7,92.6,101.,50.2,49.8
5,2011-12,MTL,29,1052,1169,47.4,-2.5,747,859,46.5,-3.6,7.8,90.3,98.1,43.1,56.9
6,2012-13,MTL,30,643,585,52.4,-1.1,469,428,52.3,-1.2,7.3,92.7,100.,47.5,52.5
7,2013-14,MTL,31,1062,1240,46.1,-0.2,802,880,47.7,0.4,8.4,94.1,102.,38.8,61.2
8,2014-15,MTL,32,1215,1246,49.4,1.3,865,894,49.2,0.5,8.3,92.8,101.,45.0,55.0
9,2015-16,MTL,33,1179,1051,52.9,2.0,852,797,51.7,0.6,8.9,91.4,100.,46.4,53.6
10,2016-17,MTL,34,306,323,48.6,-1.2,219,230,48.8,-0.8,3.8,96.0,99.8,41.4,58.6
