,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,BUF,24,1080,924,53.9,5.8,848,685,55.3,6.5,11.6,87.7,99.4,54.5,45.5
2,2008-09,BUF,25,1090,1095,49.9,-0.3,841,837,50.1,0.2,7.9,91.8,99.7,51.4,48.6
3,2009-10,BUF,26,1109,1042,51.6,0.7,855,818,51.1,0.4,8.9,92.2,101.,52.1,47.9
4,2010-11,BUF,27,488,482,50.3,-2.0,371,369,50.1,-2.7,9.4,90.4,99.7,60.5,39.5
5,2011-12,BUF,28,1121,1098,50.5,1.9,831,823,50.2,2.0,8.0,91.1,99.1,48.8,51.2
6,2012-13,TOT,29,598,554,51.9,5.3,438,429,50.5,4.0,8.8,93.1,101.,41.0,59.0
7,2012-13,DAL,29,427,408,51.1,3.8,307,317,49.2,1.8,10.3,92.2,102.,41.2,58.8
8,2012-13,VAN,29,171,146,53.9,9.4,131,112,53.9,10.0,5.3,95.3,100.,40.4,59.6
9,2013-14,STL,30,752,713,51.3,-3.8,576,517,52.7,-2.4,7.1,92.0,99.2,63.2,36.8
10,2014-15,TOT,31,909,925,49.6,0.4,663,695,48.8,-0.6,8.3,90.0,98.3,59.0,41.0
11,2014-15,NSH,31,288,257,52.8,-0.4,213,191,52.7,-1.0,8.6,91.9,100.,70.2,29.8
12,2014-15,EDM,31,621,668,48.2,1.7,450,504,47.2,0.6,8.2,89.2,97.4,53.8,46.2
