,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,CAR,26,692,648,51.6,-2.5,520,475,52.3,-0.9,8.2,93.0,101.,54.0,46.0
2,2008-09,CAR,27,1126,1127,50.0,-3.6,826,808,50.6,-3.2,7.0,91.7,98.7,48.4,51.6
3,2009-10,TOT,28,1323,1415,48.3,-0.9,984,1024,49.0,-0.3,7.3,94.3,101.,43.0,57.0
4,2009-10,FLA,28,1006,1181,46.0,-2.0,757,851,47.1,-1.1,7.1,93.9,100.,41.3,58.7
5,2009-10,BOS,28,317,234,57.5,2.4,227,173,56.8,1.6,8.1,96.4,104.,48.6,51.4
6,2010-11,BOS,29,1499,1589,48.5,-5.3,1117,1164,49.0,-4.3,7.8,92.6,100.,46.5,53.5
7,2011-12,BOS,30,1528,1333,53.4,-2.9,1139,983,53.7,-1.3,8.6,91.8,100.,52.4,47.6
8,2012-13,BOS,31,935,793,54.1,-2.0,688,569,54.7,-0.8,9.0,93.0,102.,46.4,53.6
9,2013-14,BOS,32,609,619,49.6,-5.7,438,473,48.1,-8.2,10.4,93.8,104.,48.6,51.4
10,2014-15,BOS,33,1352,1461,48.1,-6.4,986,1111,47.0,-6.2,8.1,92.3,100.,43.9,56.1
11,2015-16,BOS,34,899,1016,46.9,-3.0,687,758,47.5,-2.2,7.8,92.0,99.8,50.7,49.3
12,2016-17,NYI,35,214,257,45.4,-0.7,161,165,49.4,2.5,13.9,93.5,107.,44.4,55.6
