,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,ATL,24,437,618,41.4,-3.7,345,476,42.0,-3.1,8.7,92.3,101.,39.1,60.9
2,2008-09,ATL,25,636,760,45.6,-4.5,490,543,47.4,-2.5,6.4,92.2,98.6,46.1,53.9
3,2009-10,ATL,26,447,508,46.8,-4.5,325,390,45.5,-4.8,8.0,93.9,101.,43.5,56.5
4,2010-11,ATL,27,782,922,45.9,-5.9,582,651,47.2,-5.8,6.7,93.0,99.6,45.8,54.2
5,2011-12,WPG,28,501,706,41.5,-11.,392,497,44.1,-10.,6.7,93.1,99.8,39.2,60.8
6,2012-13,WPG,29,221,233,48.7,-2.1,145,163,47.1,-4.2,5.1,90.4,95.4,44.0,56.0
7,2013-14,WPG,30,354,467,43.1,-10.,260,319,44.9,-9.5,9.8,91.7,101.,48.7,51.3
8,2014-15,WPG,31,548,568,49.1,-4.0,393,420,48.3,-4.1,7.6,91.1,98.6,51.5,48.5
9,2015-16,WPG,32,596,715,45.5,-7.3,440,529,45.4,-7.2,6.9,93.5,100.,49.6,50.4
10,2016-17,WPG,33,92,139,39.8,-9.1,61,88,40.9,-7.9,4.1,90.3,94.4,38.0,62.0
