,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,NSH,24,587,505,53.8,3.7,454,408,52.7,3.3,6.8,90.1,96.9,54.1,45.9
2,2008-09,NSH,25,706,762,48.1,-3.0,525,580,47.5,-3.7,5.0,92.5,97.5,46.9,53.1
3,2009-10,NSH,26,558,479,53.8,1.3,436,366,54.4,1.3,6.8,92.6,99.4,50.2,49.8
4,2010-11,NSH,27,514,556,48.0,-0.4,381,429,47.0,-2.1,8.3,95.2,103.,49.2,50.8
5,2011-12,NSH,28,780,973,44.5,-3.9,593,736,44.6,-4.2,7.4,93.3,100.,47.0,53.0
6,2012-13,DET,29,297,331,47.3,-6.2,234,242,49.2,-4.5,5.2,95.2,100.,60.2,39.8
7,2013-14,DET,30,63,57,52.5,0.7,45,45,50.0,-1.6,6.5,87.5,94.0,66.7,33.3
8,2014-15,NJD,31,472,585,44.7,-2.2,361,462,43.9,-2.6,7.6,94.0,101.,45.2,54.8
9,2015-16,NJD,32,467,538,46.5,0.3,369,393,48.4,1.8,2.7,89.9,92.6,40.1,59.9
10,2016-17,CHI,33,124,115,51.9,2.7,99,85,53.8,7.0,1.5,98.4,99.9,51.3,48.7
