,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,NSH,30,1198,1012,54.2,5.1,925,809,53.3,4.5,8.2,91.2,99.4,57.4,42.6
2,2008-09,MIN,31,1188,1103,51.9,4.6,894,841,51.5,3.9,6.6,91.4,98.0,56.4,43.6
3,2009-10,MIN,32,1168,1236,48.6,-0.2,886,904,49.5,1.5,8.5,90.3,98.8,45.5,54.5
4,2010-11,MIN,33,581,760,43.3,-0.2,428,583,42.3,-0.3,9.2,92.1,101.,46.2,53.8
5,2011-12,TOT,34,939,935,50.1,3.2,713,697,50.6,3.2,8.1,91.3,99.4,52.7,47.3
6,2011-12,MIN,34,608,651,48.3,4.1,461,478,49.1,4.3,7.6,91.8,99.4,53.8,46.2
7,2011-12,NJD,34,331,284,53.8,1.4,252,219,53.5,1.2,8.9,90.4,99.3,50.0,50.0
8,2012-13,NJD,35,787,580,57.6,1.7,582,439,57.0,1.0,5.9,89.8,95.7,60.0,40.0
9,2013-14,NJD,36,1239,1070,53.7,-0.9,927,844,52.3,-2.1,7.8,91.1,98.9,59.6,40.4
10,2014-15,TOT,37,1230,1224,50.1,3.1,925,950,49.3,3.1,7.3,92.8,100.,56.2,43.8
11,2014-15,NJD,37,919,989,48.2,2.4,689,765,47.4,2.2,7.4,93.0,100.,54.8,45.2
12,2014-15,DET,37,311,235,57.0,6.1,236,185,56.1,6.7,6.8,91.9,98.7,61.4,38.6
13,2015-16,NYI,38,656,687,48.8,-2.5,481,487,49.7,-1.6,8.5,94.0,102.,61.8,38.2
