,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2005-06,BOS,24,73,68,3,0,0,1,0,5,0,1,3.3,,3.3,,12:50,,,,
2,2006-07,BOS,25,76,124,-15,0,0,0,0,9,1,0,0.0,,0.0,,19:40,,,,
3,2007-08,BOS,26,35,39,4,0,0,0,0,2,0,0,0.0,62,0.0,62,20:37,53,52,5,15
4,2008-09,PHI,27,79,61,6,1,0,0,0,11,0,1,2.2,122,2.2,122,15:48,157,133,27,59
5,2009-10,TOT,28,76,87,6,3,0,0,0,9,0,0,6.0,131,6.0,131,15:23,216,88,19,39
6,2009-10,CAR,28,62,74,7,2,0,0,0,8,0,0,5.3,105,5.3,105,15:04,172,67,17,30
7,2009-10,VAN,28,14,13,-1,1,0,0,0,1,0,0,8.3,26,8.3,26,16:45,44,21,2,9
8,2010-11,VAN,29,42,41,0,1,0,0,0,6,0,0,4.8,53,4.8,53,15:10,113,49,7,19
9,2011-12,VAN,30,44,40,4,2,0,0,2,1,0,0,10.5,61,10.5,61,14:18,91,39,13,16
10,2012-13,VAN,31,24,32,-7,0,0,0,0,1,0,0,0.0,40,0.0,40,15:11,39,31,5,7
11,2013-14,VAN,32,10,0,1,0,0,0,0,0,0,0,0.0,13,0.0,13,7:23,6,7,0,4
