,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2005-06,TOT,23,40,22,-2,6,2,0,0,8,1,0,12.9,,12.9,,10:35,,,,
2,2005-06,OTT,23,20,14,7,4,2,0,0,6,1,0,15.4,,15.4,,12:17,,,,
3,2005-06,CHI,23,20,8,-9,2,0,0,0,2,0,0,8.7,,8.7,,8:53,,,,
4,2006-07,TOT,24,41,16,1,10,3,0,2,9,2,0,14.1,,14.1,,13:46,,,,
5,2006-07,CHI,24,10,2,-2,2,0,0,0,0,0,0,10.0,,10.0,,9:59,,,,
6,2006-07,BOS,24,31,14,3,8,3,0,2,9,2,0,15.3,,15.3,,14:59,,,,
7,2007-08,TOT,25,40,12,6,2,1,0,0,9,1,0,5.4,99,5.4,99,11:57,13,5,19,8
8,2007-08,BOS,25,20,6,2,0,0,0,0,6,0,0,0.0,53,0.0,53,12:48,8,4,8,3
9,2007-08,ANA,25,12,6,2,1,1,0,0,1,1,0,11.8,30,11.8,30,12:28,3,1,6,2
10,2007-08,NSH,25,8,0,2,1,0,0,0,2,0,0,11.1,16,11.1,16,9:01,2,0,5,3
11,2008-09,TBL,26,7,2,-3,0,0,0,0,1,0,0,0.0,14,0.0,14,10:47,3,3,4,2
12,2009-10,TBL,27,28,2,-1,3,1,0,0,6,3,0,9.3,72,9.3,72,12:16,18,10,12,9
