,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2005-06,SJS,23,18,9,-2,0,0,0,0,2,0,0,0.0,,0.0,,9:40,,,,
2,2006-07,SJS,24,58,78,4,12,4,0,3,15,3,0,17.2,,17.2,,13:11,,,,
3,2007-08,SJS,25,15,22,-1,1,2,0,0,5,0,0,13.6,42,13.6,42,14:17,31,5,7,11
4,2008-09,SJS,26,71,51,8,11,11,0,1,17,13,0,13.7,259,13.7,259,17:47,135,22,35,66
5,2009-10,SJS,27,82,131,0,17,2,0,2,25,13,0,10.1,329,10.1,329,17:10,157,33,39,61
6,2010-11,SJS,28,75,100,13,19,5,0,2,30,8,0,13.0,286,13.0,286,17:58,153,22,43,54
7,2011-12,SJS,29,76,97,-5,13,4,0,2,17,11,0,9.4,297,9.4,297,17:52,109,36,42,55
8,2012-13,TOT,30,40,93,1,2,1,0,0,13,3,0,3.4,165,3.4,165,16:38,99,19,13,26
9,2012-13,SJS,30,28,79,-4,0,0,0,0,9,2,0,0.0,132,0.0,132,16:28,69,15,11,23
10,2012-13,NYR,30,12,14,5,2,1,0,0,4,1,0,13.6,33,13.6,33,17:02,30,4,2,3
11,2013-14,NJD,31,43,33,-10,4,3,0,1,14,5,0,9.5,110,9.5,110,16:08,82,19,8,21
12,2014-15,NJD,32,13,4,-1,1,0,0,0,3,0,0,6.7,26,6.7,26,15:40,21,1,3,3
