,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2003-04,SJS,21,41,14,4,1,0,0,1,7,4,0,1.7,,1.7,,15:23,,,,
2,2005-06,SJS,23,64,32,10,3,2,0,2,7,11,0,4.0,,4.0,,17:48,,,,
3,2006-07,SJS,24,82,63,8,4,6,0,2,11,12,0,6.1,,6.1,,18:34,,,,
4,2007-08,SJS,25,77,72,9,0,1,0,1,16,4,1,1.0,263,1.0,263,21:44,92,108,22,43
5,2008-09,SJS,26,77,63,-12,3,5,0,2,14,20,0,4.8,349,4.8,349,21:14,79,90,33,49
6,2009-10,VAN,27,80,42,36,8,6,0,3,13,17,0,7.7,393,7.7,393,22:47,54,82,30,54
7,2010-11,VAN,28,79,52,19,8,6,0,3,13,22,1,6.7,434,6.7,434,23:59,54,108,19,47
8,2011-12,BUF,29,66,47,-2,4,1,0,3,15,10,2,3.7,303,3.7,303,23:03,47,82,24,51
9,2012-13,BUF,30,47,34,6,4,1,0,2,9,8,0,4.9,223,4.9,223,25:11,38,81,22,24
10,2013-14,BUF,31,79,38,-27,4,1,1,2,14,11,2,3.7,334,3.7,334,23:55,49,119,36,61
11,2014-15,PIT,32,49,26,8,3,0,0,3,9,2,0,2.7,226,2.7,226,21:46,73,49,12,21
12,2015-16,TOT,33,48,34,-11,2,0,0,0,2,8,0,2.5,174,2.5,174,15:29,39,35,5,22
13,2015-16,LAK,33,40,32,-10,2,0,0,0,1,7,0,3.3,137,3.3,137,15:10,34,28,5,20
14,2015-16,CHI,33,8,2,-1,0,0,0,0,1,1,0,0.0,37,0.0,37,17:03,5,7,0,2
