,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2005-06,SJS,22,81,22,-7,6,2,0,2,12,2,0,8.3,,8.3,,11:42,,,,
2,2006-07,SJS,23,78,24,-2,4,0,1,0,8,0,0,5.2,,5.2,,12:01,,,,
3,2007-08,SJS,24,51,12,-15,5,0,0,0,3,0,0,5.7,130,5.7,130,10:41,45,16,19,12
4,2008-09,SJS,25,55,18,-6,2,0,0,1,9,0,0,1.9,174,1.9,174,13:55,83,17,29,20
5,2009-10,NSH,26,73,14,10,12,0,0,1,18,0,0,10.2,207,10.2,207,14:41,51,26,50,24
6,2010-11,NSH,27,51,6,10,8,0,1,2,15,0,0,8.1,178,8.1,178,16:02,51,13,17,17
7,2011-12,FLA,28,57,10,5,8,3,0,1,15,1,0,11.3,149,11.3,149,17:37,38,23,43,13
8,2012-13,FLA,29,42,8,-6,5,4,0,1,8,2,0,9.8,149,9.8,149,18:16,73,20,21,11
9,2013-14,TOT,30,74,35,-7,11,0,0,1,12,2,0,9.4,225,9.4,225,16:20,119,43,21,21
10,2013-14,FLA,30,62,31,-7,11,0,0,1,10,2,0,10.5,210,10.5,210,16:59,103,41,18,16
11,2013-14,PIT,30,12,4,0,0,0,0,0,2,0,0,0.0,15,0.0,15,12:55,16,2,3,5
12,2014-15,TOT,31,74,8,-3,3,0,0,0,5,0,1,3.9,130,3.9,130,11:41,87,35,18,13
13,2014-15,PIT,31,43,4,-2,2,0,0,0,3,0,1,4.7,74,4.7,74,12:27,56,22,8,8
14,2014-15,STL,31,31,4,-1,1,0,0,0,2,0,0,2.9,56,2.9,56,10:38,31,13,10,5
