,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2005-06,TOR,23,8,2,5,0,0,0,0,1,0,0,0.0,,0.0,,18:50,,,,
2,2006-07,TOR,24,5,6,-5,0,0,0,0,0,0,0,0.0,,0.0,,8:22,,,,
3,2008-09,TOR,26,7,10,-2,0,0,0,0,1,0,0,0.0,31,0.0,31,17:16,8,8,2,3
4,2009-10,CAR,27,38,50,-8,1,0,0,0,5,0,0,3.3,68,3.3,68,14:43,66,45,6,10
5,2010-11,CAR,28,72,72,5,3,0,0,0,7,0,0,6.1,137,6.1,137,15:16,110,100,16,32
6,2011-12,CAR,29,72,60,-10,7,2,0,2,11,3,0,7.0,291,7.0,291,20:33,117,153,15,40
7,2012-13,CAR,30,47,51,-10,3,0,0,2,6,1,0,5.6,122,5.6,122,19:54,83,110,12,24
8,2013-14,CAR,31,68,44,-1,3,1,0,1,6,5,0,3.9,216,3.9,216,16:38,141,82,8,23
9,2014-15,TOT,32,55,65,-1,2,1,0,0,5,1,0,6.0,133,6.0,133,15:56,77,76,16,33
10,2014-15,CAR,32,20,42,-5,1,0,0,0,3,0,0,4.3,61,4.3,61,16:30,35,35,7,5
11,2014-15,WPG,32,35,23,4,1,1,0,0,2,1,0,7.4,72,7.4,72,15:36,42,41,9,28
