,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2003-04,CBJ,22,19,16,-7,1,0,0,0,2,0,0,5.6,,5.6,,9:56,,,,
2,2005-06,PHX,24,8,21,1,0,0,0,0,0,0,0,0.0,,0.0,,7:13,,,,
3,2006-07,LAK,25,5,10,-1,0,0,0,0,0,0,0,0.0,,0.0,,6:36,,,,
4,2007-08,NYI,26,36,57,-3,1,0,0,0,3,0,0,2.8,55,2.8,55,6:37,41,9,9,1
5,2008-09,NYI,27,69,155,-17,4,0,1,0,7,0,0,5.1,151,5.1,151,11:45,151,50,41,18
6,2009-10,NYI,28,54,98,-4,4,0,0,0,5,0,0,7.8,96,7.8,96,9:39,114,40,15,11
7,2010-11,CGY,29,82,86,4,9,1,0,1,11,2,0,7.6,225,7.6,225,9:49,133,21,23,12
8,2011-12,CGY,30,75,94,-21,1,0,0,0,6,0,0,1.0,195,1.0,195,9:07,160,16,18,7
9,2012-13,CGY,31,42,76,-9,1,0,0,0,3,1,0,2.4,72,2.4,72,7:36,98,17,6,7
10,2013-14,TOT,32,36,103,-3,4,0,0,0,1,0,0,8.7,65,8.7,65,7:06,69,4,4,4
11,2013-14,CGY,32,10,41,-1,1,0,0,0,0,0,0,11.1,13,11.1,13,6:23,16,2,2,2
12,2013-14,ANA,32,26,62,-2,3,0,0,0,1,0,0,8.1,52,8.1,52,7:23,53,2,2,2
13,2014-15,ANA,33,55,86,-4,5,0,0,1,2,0,0,9.1,101,9.1,101,8:23,110,19,6,6
14,2015-16,ANA,34,2,4,-2,0,0,0,0,0,0,0,0.0,1,0.0,1,5:44,2,0,0,1
