,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2002-03,CGY,20,23,8,-3,3,1,0,1,2,0,0,13.8,,13.8,,11:48,,,,
2,2003-04,CGY,21,70,51,-12,3,3,0,0,7,4,0,7.7,,7.7,,10:22,,,,
3,2005-06,CGY,23,77,64,-10,10,10,0,4,9,2,0,14.0,,14.0,,12:16,,,,
4,2006-07,TOT,24,50,62,1,3,2,0,1,8,6,0,5.4,,5.4,,14:20,,,,
5,2006-07,CGY,24,40,37,7,3,1,0,1,7,6,0,5.8,,5.8,,13:13,,,,
6,2006-07,BOS,24,10,25,-6,0,1,0,0,1,0,0,4.2,,4.2,,18:51,,,,
7,2007-08,BOS,25,73,29,6,13,6,3,3,12,5,0,15.0,208,15.0,208,17:41,86,29,29,21
8,2008-09,BOS,26,68,56,5,15,6,0,3,18,3,0,16.3,204,16.3,204,14:41,100,27,18,13
9,2009-10,TOT,27,49,18,-11,7,2,0,2,6,0,0,12.7,122,12.7,122,13:55,58,34,10,10
10,2009-10,BOS,27,7,2,-2,0,0,0,0,1,0,0,0.0,20,0.0,20,14:22,8,5,0,0
11,2009-10,MIN,27,42,16,-9,7,2,0,2,5,0,0,15.5,102,15.5,102,13:50,50,29,10,10
12,2010-11,MIN,28,63,19,-6,9,0,0,1,7,0,0,12.2,124,12.2,124,11:50,31,20,17,13
13,2011-12,COL,29,58,51,-10,6,0,1,2,6,1,0,10.8,113,10.8,113,11:51,62,20,17,7
14,2012-13,COL,30,37,21,6,5,0,0,1,4,0,0,11.6,73,11.6,73,11:16,34,17,14,4
15,2013-14,PIT,31,33,15,1,2,0,0,2,0,0,0,5.4,68,5.4,68,11:13,49,18,10,9
