,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2002-03,MTL,21,21,28,-6,0,0,0,0,1,0,0,0.0,,0.0,,16:42,,,,
2,2003-04,MTL,22,46,34,4,0,0,0,0,4,0,0,0.0,,0.0,,12:00,,,,
3,2005-06,MTL,24,71,116,-1,2,0,0,0,4,0,0,3.0,,3.0,,14:40,,,,
4,2006-07,MTL,25,82,96,7,2,0,2,1,13,0,2,5.1,,5.1,,19:16,,,,
5,2007-08,MTL,26,75,101,9,4,0,0,1,12,0,1,5.3,203,5.3,203,21:09,266,227,40,68
6,2008-09,MTL,27,66,121,0,2,0,0,0,7,0,2,3.6,160,3.6,160,20:37,191,207,21,89
7,2009-10,TOR,28,34,40,-9,0,0,0,0,4,0,0,0.0,104,0.0,104,19:56,85,62,7,36
8,2010-11,TOR,29,75,86,-8,1,0,0,0,9,0,0,2.1,149,2.1,149,13:38,146,117,14,51
9,2011-12,TOR,30,45,41,-13,1,0,0,0,4,0,0,2.9,85,2.9,85,16:39,104,80,25,26
10,2012-13,TOR,31,4,2,2,0,0,0,0,0,0,0,0.0,7,0.0,7,15:21,11,6,1,1
11,2013-14,CAR,32,32,14,-4,0,0,0,0,4,0,0,0.0,51,0.0,51,11:42,70,27,3,16
