,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2001-02,ATL,18,65,28,-19,22,7,0,4,14,8,0,15.8,,15.8,,18:32,,,,
2,2002-03,ATL,19,81,57,-24,29,9,0,3,16,13,0,14.8,,14.8,,19:27,,,,
3,2003-04,ATL,20,81,63,-10,24,16,1,6,28,17,1,12.0,,12.0,,23:41,,,,
4,2005-06,ATL,22,78,68,-6,25,27,0,7,16,29,1,16.1,,16.1,,22:23,,,,
5,2006-07,ATL,23,82,66,-2,24,18,0,7,20,14,0,12.5,,12.5,,21:32,,,,
6,2007-08,ATL,24,79,52,-12,34,16,2,4,21,14,0,18.4,520,18.4,520,21:30,39,25,49,66
7,2008-09,ATL,25,79,50,-12,31,12,0,6,23,24,1,15.6,534,15.6,534,21:48,43,15,48,87
8,2009-10,TOT,26,76,53,10,29,12,0,4,29,15,0,14.1,534,14.1,534,22:02,30,20,34,73
9,2009-10,ATL,26,49,45,1,21,10,0,3,18,9,0,17.3,359,17.3,359,22:14,13,16,21,49
10,2009-10,NJD,26,27,8,9,8,2,0,1,11,6,0,9.0,203,9.0,203,21:40,17,4,13,24
11,2010-11,NJD,27,81,28,-26,22,9,0,9,17,12,0,12.7,461,12.7,461,22:34,28,12,43,104
12,2011-12,NJD,28,77,33,-9,24,10,3,5,25,19,2,11.9,552,11.9,552,24:26,27,18,42,120
13,2012-13,NJD,29,37,18,-6,5,2,4<,5,8,12,0,8.9,238,8.9,238,24:44,13,12,10,41
