,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2003-04,MTL,21,2,0,0,0,0,0,0,0,0,0,</td,,</td,,9:02,,,,
2,2005-06,MTL,23,67,32,4,8,1,0,0,12,5,3,9.1,,9.1,,13:15,,,,
3,2006-07,MTL,24,81,36,10,13,5,2,1,16,9,2,13.3,,13.3,,15:59,,,,
4,2007-08,MTL,25,81,42,15,15,12,2,6,26,13,1,15.6,303,15.6,303,18:05,32,28,51,40
5,2008-09,MTL,26,80,54,-9,11,6,3,2,13,6,0,9.9,337,9.9,337,17:15,53,38,42,41
6,2009-10,MTL,27,82,50,5,21,3,1,4,24,21,0,11.6,379,11.6,379,19:58,51,63,46,58
7,2010-11,MTL,28,77,60,8,18,3,1,4,19,15,1,9.7,398,9.7,398,20:15,53,45,43,37
8,2011-12,MTL,29,81,56,-15,9,5,3,2,19,13,3,7.7,398,7.7,398,20:45,67,57,43,48
9,2012-13,MTL,30,47,24,3,10,4,0,2,8,11,0,10.5,236,10.5,236,19:13,25,17,15,22
10,2013-14,MTL,31,81,38,11,14,3,3,5,16,7,0,10.1,373,10.1,373,19:47,44,45,38,37
11,2014-15,MTL,32,82,46,8,16,7,3,5,24,9,1,10.5,392,10.5,392,19:09,47,55,30,42
12,2015-16,MTL,33,82,36,4,13,1,0,1,28,12,0,7.4,323,7.4,323,18:32,60,46,15,45
13,2016-17,MTL,34,23,8,0,0,0,1,1,3,3,0,2.3,70,2.3,70,17:18,22,20,9,6
