,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2003-04,BUF,21,1,0,0,0,0,0,0,0,0,0,0.0,,0.0,,14:22,,,,
2,2005-06,BUF,23,57,22,-4,6,10,2,2,7,5,0,14.5,,14.5,,14:07,,,,
3,2006-07,BUF,24,82,30,25,30,2,2,5,21,11,2,16.0,,16.0,,17:25,,,,
4,2007-08,BUF,25,82,20,16,24,2,1,1,26,25,2,11.6,394,11.6,394,19:58,30,37,37,45
5,2008-09,BUF,26,82,18,-4,13,6,1,2,28,18,0,8.4,406,8.4,406,19:46,44,50,43,39
6,2009-10,BUF,27,82,22,13,16,8,0,2,26,12,0,9.5,432,9.5,432,18:45,45,41,49,31
7,2010-11,BUF,28,73,15,1,16,5,1,2,21,9,0,10.2,353,10.2,353,18:09,35,50,43,27
8,2011-12,BUF,29,82,12,-7,20,8,2,5,24,18,1,12.8,407,12.8,407,19:41,30,52,45,38
9,2012-13,TOT,30,47,8,1,11,2,1,2,13,7,0,11.9,223,11.9,223,20:11,21,35,38,13
10,2012-13,BUF,30,37,8,1,8,1,1,1,10,5,0,10.6,183,10.6,183,20:54,17,27,33,11
11,2012-13,MIN,30,10,0,0,3,1,0,1,3,2,0,16.7,40,16.7,40,17:31,4,8,5,2
12,2013-14,MIN,31,82,16,3,23,7,0,5,20,10,0,13.3,395,13.3,395,18:35,23,31,37,24
13,2014-15,MIN,32,82,8,9,15,3,0,4,25,11,0,7.1,433,7.1,433,18:17,44,32,35,21
14,2015-16,MIN,33,75,12,10,8,3,0,2,18,7,0,5.9,285,5.9,285,16:22,31,31,21,22
15,2016-17,MIN,34,22,0,2,5,0,0,0,3,2,0,10.9,79,10.9,79,14:29,14,14,7,3
