,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2002-03,PHI,21,58,20,8,3,1,0,0,7,2,0,3.3,,3.3,,16:50,,,,
2,2003-04,PHI,22,5,2,-4,0,0,0,0,0,0,0,0.0,,0.0,,17:20,,,,
3,2005-06,TOT,24,63,18,-13,1,2,0,0,7,7,1,3.6,,3.6,,16:59,,,,
4,2005-06,PHI,24,29,4,-4,1,1,0,0,3,1,1,5.9,,5.9,,14:22,,,,
5,2005-06,PHX,24,34,14,-9,0,1,0,0,4,6,0,2.0,,2.0,,19:13,,,,
6,2006-07,TOT,25,52,18,-16,2,0,0,0,6,0,0,2.4,,2.4,,16:10,,,,
7,2006-07,PHX,25,32,16,-4,1,0,0,0,1,0,0,2.8,,2.8,,14:43,,,,
8,2006-07,CAR,25,20,2,-12,1,0,0,0,5,0,0,2.1,,2.1,,18:29,,,,
9,2007-08,CAR,26,47,18,6,0,0,0,0,8,7,0,0.0,178,0.0,178,18:50,110,81,7,12
10,2008-09,CAR,27,70,37,-9,3,2,0,1,16,9,0,3.9,255,3.9,255,22:20,146,160,27,29
11,2009-10,TOT,28,79,39,6,2,2,0,1,20,7,1,2.6,295,2.6,295,22:55,166,215,24,25
12,2009-10,FLA,28,62,33,-3,1,1,0,0,13,7,1,1.7,222,1.7,222,22:55,133,179,19,21
13,2009-10,BOS,28,17,6,9,1,1,0,1,7,0,0,5.4,73,5.4,73,22:57,33,36,5,4
14,2010-11,BOS,29,81,41,3,6,1,0,2,15,10,0,4.2,321,4.2,321,23:33,161,174,12,27
15,2011-12,BOS,30,80,39,15,5,0,0,2,8,8,2,2.9,349,2.9,349,24:02,154,151,17,25
16,2012-13,BOS,31,46,10,18,4,0,0,2,11,2,0,4.8,183,4.8,183,23:48,115,115,10,16
17,2013-14,BOS,32,34,10,11,1,0,0,0,9,0,0,1.9,115,1.9,115,21:50,61,66,7,16
18,2014-15,BOS,33,82,34,-1,3,0,0,0,11,0,0,2.9,209,2.9,209,22:06,212,146,8,24
19,2015-16,BOS,34,61,24,-1,1,0,0,0,10,1,0,1.5,132,1.5,132,19:24,127,120,16,24
20,2016-17,NYI,35,15,12,10,4,0,0,0,4,0,0,22.2,32,22.2,32,19:20,18,38,2,10
