,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2003-04,PHX,20,57,22,-7,7,0,0,1,6,0,0,9.6,,9.6,,11:35,,,,
2,2005-06,PHX,22,75,42,1,5,1,0,1,15,1,1,5.5,,5.5,,13:20,,,,
3,2006-07,PHX,23,78,48,-11,7,2,0,1,9,0,0,7.2,,7.2,,14:07,,,,
4,2007-08,TOT,24,69,22,-2,8,2,2,2,7,2,0,10.9,173,10.9,173,12:07,103,21,19,12
5,2007-08,PHX,24,51,14,-2,6,2,2,1,7,2,0,11.9,137,11.9,137,13:33,73,19,11,11
6,2007-08,NYR,24,18,8,0,2,0,0,1,0,0,0,7.7,36,7.7,36,8:05,30,2,8,1
7,2008-09,NYR,25,79,30,-11,5,0,2,0,5,0,1,7.4,151,7.4,151,12:10,120,49,19,13
8,2009-10,TOT,26,65,12,-2,3,0,0,0,8,0,0,4.7,110,4.7,110,10:47,75,35,15,13
9,2009-10,CGY,26,46,8,2,1,0,0,0,5,0,0,3.0,62,3.0,62,9:31,44,17,12,10
10,2009-10,TOR,26,19,4,-4,2,0,0,0,3,0,0,6.5,48,6.5,48,13:52,31,18,3,3
11,2010-11,TOR,27,66,14,-5,2,0,0,0,3,0,0,3.2,106,3.2,106,11:13,108,33,15,15
