,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2005-06,WSH,23,7,0,1,0,0,0,0,0,0,0,0.0,,0.0,,7:39,,,,
2,2006-07,WSH,24,5,2,-2,0,0,0,0,0,0,0,0.0,,0.0,,12:26,,,,
3,2007-08,WSH,25,67,34,1,5,0,0,1,6,0,1,7.6,129,7.6,129,13:34,91,42,31,21
4,2008-09,WSH,26,76,34,2,6,0,2,1,10,0,1,7.8,181,7.8,181,13:49,91,52,35,38
5,2009-10,WSH,27,79,19,4,4,1,0,1,11,0,0,5.6,162,5.6,162,12:24,115,37,30,24
6,2010-11,TOT,28,75,26,-6,5,0,1,1,6,0,0,7.6,128,7.6,128,11:53,103,49,24,16
7,2010-11,WSH,28,57,24,-3,4,0,1,1,6,0,0,8.2,97,8.2,97,11:34,87,41,22,8
8,2010-11,NJD,28,18,2,-3,1,0,0,0,0,0,0,5.6,31,5.6,31,12:50,16,8,2,8
9,2011-12,TOR,29,76,10,-14,5,1,2,0,5,0,0,10.1,143,10.1,143,12:50,170,66,33,31
10,2012-13,TOT,30,34,4,0,1,0,0,0,6,0,0,4.3,38,4.3,38,9:16,41,21,6,5
11,2012-13,TOR,30,13,0,-2,0,0,0,0,1,0,0,0.0,9,0.0,9,7:04,11,10,0,4
12,2012-13,ANA,30,21,4,2,1,0,0,0,5,0,0,5.3,29,5.3,29,10:37,30,11,6,1
13,2013-14,ANA,31,6,0,0,0,0,0,0,0,0,0,0.0,11,0.0,11,10:50,15,3,1,3
