,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2005-06,BUF,22,2,7,-1,0,0,0,0,1,0,0,0.0,,0.0,,6:52,,,,
2,2006-07,PIT,23,39,69,1,3,0,0,1,2,0,0,7.5,,7.5,,7:54,,,,
3,2007-08,ATL,24,73,92,-4,5,0,0,1,13,0,0,6.9,106,6.9,106,8:56,89,19,18,10
4,2008-09,ATL,25,82,104,-10,7,0,0,1,8,0,0,8.2,131,8.2,131,9:35,127,33,22,20
5,2009-10,ATL,26,76,89,6,1,0,3,0,9,0,0,6.3,98,6.3,98,9:59,103,37,32,8
6,2010-11,ATL,27,82,77,-4,7,2,0,0,9,1,0,7.9,192,7.9,192,13:48,128,71,41,10
7,2011-12,WPG,28,72,83,-6,4,0,0,0,7,0,0,5.8,120,5.8,120,10:11,151,46,13,14
8,2012-13,WPG,29,42,70,-5,2,0,0,0,2,0,0,15.4,30,15.4,30,6:19,65,19,3,1
9,2013-14,WPG,30,55,65,0,2,0,0,1,9,0,0,7.7,50,7.7,50,8:57,108,34,4,8
10,2014-15,WPG,31,81,76,-5,7,0,0,2,7,0,0,10.4,128,10.4,128,8:05,127,29,9,12
11,2015-16,WPG,32,82,81,-1,5,0,1,2,6,0,0,8.6,114,8.6,114,10:07,146,32,11,18
12,2016-17,WPG,33,20,36,-4,1,0,0,0,0,0,0,7.1,21,7.1,21,8:18,36,16,1,1
