,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2003-04,NYR,20,25,14,-4,1,0,1,0,4,1,0,6.1,,6.1,,20:08,,,,
2,2005-06,NYR,22,77,58,1,2,4,0,2,10,8,1,5.9,,5.9,,20:33,,,,
3,2006-07,NYR,23,66,44,-8,0,1,1,0,10,1,1,2.7,,2.7,,20:02,,,,
4,2007-08,NYR,24,82,43,5,4,1,0,0,9,5,1,3.8,253,3.8,253,20:27,218,112,25,41
5,2008-09,CBJ,25,82,81,1,3,5,1,0,13,12,0,5.4,336,5.4,336,23:31,103,98,16,26
6,2009-10,CBJ,26,80,49,-7,3,3,0,2,11,15,0,4.0,303,4.0,303,23:31,84,124,18,22
7,2010-11,CBJ,27,80,32,-12,6,1,0,0,9,11,0,5.5,260,5.5,260,22:42,120,93,29,29
8,2011-12,CBJ,28,66,49,-21,4,1,0,0,9,11,1,4.0,246,4.0,246,24:09,100,91,16,20
9,2012-13,CBJ,29,48,28,9,4,0,0,1,12,5,1,7.1,137,7.1,137,24:06,58,58,9,19
10,2013-14,CBJ,30,69,44,6,3,1,0,0,12,8,2,4.6,182,4.6,182,21:25,89,83,16,23
11,2014-15,CBJ,31,67,40,8,3,0,0,0,9,1,2,5.4,131,5.4,131,19:55,106,117,10,23
12,2015-16,CBJ,32,61,28,-6,1,0,0,0,2,0,0,4.0,78,4.0,78,17:35,128,71,7,13
13,2016-17,COL,33,17,8,-2,0,0,0,0,7,0,0,0.0,26,0.0,26,18:46,31,23,4,4
