,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2002-03,MIN,21,38,23,-6,2,1,0,0,1,1,0,5.8,,5.8,,12:08,,,,
2,2003-04,MIN,22,19,20,0,0,1,1,1,7,0,1,5.4,,5.4,,14:20,,,,
3,2005-06,MIN,24,71,63,-13,7,0,0,1,7,2,0,8.0,,8.0,,12:58,,,,
4,2006-07,MIN,25,75,47,3,7,0,0,1,10,0,1,8.3,,8.3,,12:17,,,,
5,2007-08,MIN,26,77,61,-13,11,0,0,0,6,0,1,8.1,232,8.1,232,14:32,113,25,19,24
6,2008-09,MIN,27,81,40,-17,12,0,1,1,9,1,0,8.9,263,8.9,263,15:48,98,31,23,20
7,2009-10,TBL,28,77,48,-14,3,0,0,0,6,0,0,3.2,157,3.2,157,12:17,87,28,27,10
8,2011-12,TOT,30,22,15,-2,0,0,0,0,2,0,0,0.0,32,0.0,32,9:49,27,5,11,1
9,2011-12,NJD,30,1,0,0,0,0,0,0,0,0,0,</td,0,</td,0,4:34,1,0,0,0
10,2011-12,MIN,30,21,15,-2,0,0,0,0,2,0,0,0.0,32,0.0,32,10:04,26,5,11,1
11,2013-14,MIN,32,34,21,-2,3,0,0,0,0,0,0,11.5,43,11.5,43,8:26,41,20,9,2
12,2014-15,MIN,33,12,10,0,1,0,0,1,1,0,0,11.1,12,11.1,12,7:42,9,8,2,0
