,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,DET,24,816,539,60.2,-0.9,662,428,60.7,-0.8,7.6,92.2,99.8,67.7,32.3
2,2008-09,DET,25,892,627,58.7,0.4,703,517,57.6,0.2,8.1,90.8,98.9,64.5,35.5
3,2010-11,DET,27,826,729,53.1,-2.3,643,576,52.7,-1.9,7.6,90.9,98.5,57.2,42.8
4,2011-12,DET,28,1056,867,54.9,-0.8,803,686,53.9,-2.2,11.0,90.8,101.,56.3,43.7
5,2012-13,CGY,29,488,545,47.2,-0.5,357,408,46.7,-1.8,9.7,87.2,96.9,44.4,55.6
6,2013-14,CGY,30,989,1079,47.8,1.7,698,747,48.3,0.7,11.5,91.3,102.,57.4,42.6
7,2014-15,CGY,31,1079,1159,48.2,5.1,770,810,48.7,4.1,13.1,90.8,104.,54.9,45.1
8,2015-16,TOT,32,849,840,50.3,2.2,605,622,49.3,0.4,11.6,88.6,100.,58.7,41.3
9,2015-16,CGY,32,650,640,50.4,3.5,455,459,49.8,2.0,11.5,88.2,99.7,61.3,38.7
10,2015-16,FLA,32,199,200,49.9,-2.0,150,163,47.9,-4.1,12.0,89.5,101.,50.0,50.0
11,2016-17,DAL,33,39,50,43.8,-13.,25,39,39.1,-18.,6.3,85.2,91.4,44.0,56.0
