,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,CGY,25,860,888,49.2,-7.2,663,723,47.8,-6.5,6.6,92.5,99.1,49.5,50.5
2,2008-09,TOT,26,885,837,51.4,-1.3,679,669,50.4,-1.4,10.2,91.3,101.,51.3,48.7
3,2008-09,CGY,26,670,566,54.2,-0.7,517,466,52.6,-0.8,10.4,91.3,101.,56.4,43.6
4,2008-09,PHX,26,215,271,44.2,0.0,162,203,44.4,-1.3,9.5,91.4,100.,41.3,58.7
5,2009-10,PHX,27,1000,939,51.6,-1.7,778,747,51.0,-1.6,9.2,91.1,100.,58.3,41.7
6,2010-11,NSH,28,16,32,33.3,-26.,13,28,31.7,-28.,0.0,94.4,94.4,38.9,61.1
7,2011-12,TOR,29,631,731,46.3,-3.4,460,545,45.8,-2.4,7.4,88.9,96.3,51.9,48.1
8,2012-13,TOT,30,297,344,46.3,-7.5,219,255,46.2,-6.4,7.5,92.5,100.,60.9,39.1
9,2012-13,PHX,30,243,253,49.0,-7.5,179,195,47.9,-7.0,8.6,92.3,100.,66.1,33.9
10,2012-13,ANA,30,54,91,37.2,-11.,40,60,40.0,-8.6,3.0,93.2,96.2,47.7,52.3
