,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,PHI,24,699,632,52.5,6.2,540,467,53.6,7.2,8.3,91.1,99.4,45.1,54.9
2,2008-09,TOT,25,883,863,50.6,3.9,685,630,52.1,4.5,7.2,93.4,100.,49.2,50.8
3,2008-09,PHI,25,678,616,52.4,5.0,528,455,53.7,5.3,7.1,93.5,100.,50.1,49.9
4,2008-09,PHX,25,205,247,45.4,1.6,157,175,47.3,2.7,7.6,93.3,101.,46.7,53.3
5,2009-10,PHX,26,591,553,51.7,-1.6,444,448,49.8,-3.3,10.0,91.5,101.,56.0,44.0
6,2010-11,TOT,27,1060,869,55.0,4.2,785,671,53.9,4.1,7.4,90.4,97.8,53.0,47.0
7,2010-11,PHX,27,795,630,55.8,5.2,594,496,54.5,5.2,7.6,92.4,100.,56.3,43.7
8,2010-11,CBJ,27,265,239,52.6,1.0,191,175,52.2,0.5,6.7,85.7,92.4,44.4,55.6
9,2011-12,FLA,28,265,256,50.9,0.2,195,206,48.6,-1.0,4.3,94.1,98.4,49.7,50.3
10,2012-13,FLA,29,262,291,47.4,-1.5,206,225,47.8,2.1,3.3,92.1,95.4,56.6,43.4
11,2013-14,FLA,30,900,830,52.0,2.1,683,639,51.7,1.0,8.0,92.1,100.,49.7,50.3
12,2014-15,FLA,31,597,581,50.7,-0.4,459,439,51.1,0.3,4.9,92.0,96.9,49.4,50.6
13,2015-16,STL,32,586,549,51.6,-0.1,446,402,52.6,0.9,6.3,93.5,99.8,38.4,61.6
14,2016-17,STL,33,134,129,51.0,-1.2,111,98,53.1,-0.2,8.5,83.6,92.1,35.0,65.0
