,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,TOR,23,1338,1111,54.6,2.9,1013,871,53.8,1.7,8.0,89.9,97.9,53.4,46.6
2,2008-09,TOR,24,1268,1214,51.1,1.2,951,921,50.8,0.9,9.5,90.8,100.,52.7,47.3
3,2009-10,TOT,25,1669,1420,54.0,0.1,1243,1063,53.9,0.0,8.2,90.9,99.1,57.6,42.4
4,2009-10,TOR,25,1276,1023,55.5,1.7,946,768,55.2,0.7,7.5,90.6,98.1,59.2,40.8
5,2009-10,CGY,25,393,397,49.7,-4.3,297,295,50.2,-2.7,10.3,91.7,102.,53.9,46.1
6,2010-11,TOT,26,1350,1302,50.9,-1.6,982,961,50.5,-2.0,7.9,92.4,100.,49.8,50.2
7,2010-11,CGY,26,257,247,51.0,-1.2,181,188,49.1,-5.9,4.2,89.1,93.3,55.6,44.4
8,2010-11,CAR,26,666,685,49.3,-0.1,475,511,48.2,0.4,8.1,93.3,101.,47.7,52.3
9,2010-11,SJS,26,427,370,53.6,-2.7,326,262,55.4,-1.7,9.3,93.0,102.,49.6,50.4
10,2011-12,DET,27,1431,1124,56.0,0.9,1095,866,55.8,0.5,9.8,92.0,101.,57.3,42.7
11,2012-13,DET,28,381,357,51.6,-2.1,297,268,52.6,-0.7,7.8,95.1,102.,55.6,44.4
