,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,PIT,24,891,1147,43.7,-3.7,690,861,44.5,-4.4,10.9,91.5,102.,45.5,54.5
2,2008-09,TOT,25,660,815,44.7,-5.7,512,626,45.0,-7.4,9.0,90.8,99.8,57.9,42.1
3,2008-09,PIT,25,367,520,41.4,-5.4,271,394,40.8,-8.8,9.6,89.7,99.3,59.8,40.2
4,2008-09,ANA,25,293,295,49.8,-6.1,241,232,51.0,-5.4,8.3,92.5,100.,54.7,45.3
5,2009-10,TOT,26,1291,1501,46.2,1.5,999,1163,46.2,0.6,10.7,91.1,101.,48.7,51.3
6,2009-10,ANA,26,974,1140,46.1,-0.7,751,893,45.7,-1.1,9.9,91.7,101.,49.8,50.2
7,2009-10,EDM,26,317,361,46.8,7.5,248,270,47.9,5.5,13.3,88.9,102.,45.4,54.6
8,2010-11,EDM,27,541,648,45.5,2.5,400,492,44.8,4.1,12.6,93.6,106.,53.8,46.2
9,2011-12,EDM,28,750,947,44.2,-3.8,570,676,45.7,-5.0,7.1,91.5,98.5,52.1,47.9
10,2012-13,EDM,29,390,577,40.3,-8.0,294,437,40.2,-9.1,7.9,92.6,100.,45.2,54.8
11,2013-14,FLA,30,71,97,42.3,-10.,49,68,41.9,-10.,5.3,87.2,92.5,48.2,51.8
