,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2003-04,CHI,19,5,2,-1,0,0,0,0,1,1,0,0.0,,0.0,,12:43,,,,
2,2005-06,TOT,21,39,22,-7,2,3,0,0,1,4,0,8.9,,8.9,,14:48,,,,
3,2005-06,CHI,21,17,16,-5,1,1,0,0,1,2,0,8.3,,8.3,,16:38,,,,
4,2005-06,CAR,21,22,6,-2,1,2,0,0,0,2,0,9.4,,9.4,,13:22,,,,
5,2006-07,CAR,22,52,30,-6,2,0,0,2,8,3,1,3.2,,3.2,,17:26,,,,
6,2008-09,CAR,24,72,16,13,7,9,0,4,13,6,0,12.6,278,12.6,278,18:04,22,115,22,20
7,2010-11,TOT,26,82,32,14,4,6,1,2,16,7,1,8.3,308,8.3,308,16:21,19,154,19,42
8,2010-11,CAR,26,17,12,-4,2,1,0,1,3,1,1,6.7,87,6.7,87,19:07,2,25,8,8
9,2010-11,CGY,26,65,20,18,2,5,1,1,13,6,0,9.2,221,9.2,221,15:37,17,129,11,34
10,2011-12,CGY,27,32,6,2,1,1,0,1,6,2,0,4.2,124,4.2,124,14:29,17,48,9,12
11,2012-13,CGY,28,7,0,-1,0,0,0,0,1,0,0,0.0,13,0.0,13,11:51,1,9,0,5
