,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2003-04,NYI,19,18,4,-4,0,0,1,0,1,0,0,8.3,,8.3,,8:55,,,,
2,2005-06,NYI,21,28,20,-11,4,0,0,1,5,0,0,6.3,,6.3,,13:17,,,,
3,2007-08,NYI,23,78,62,-3,9,1,0,1,11,1,0,6.5,251,6.5,251,11:15,138,20,42,28
4,2008-09,NYI,24,59,64,-2,11,0,4,5,9,0,0,9.9,244,9.9,244,14:15,83,32,32,27
5,2009-10,NYI,25,63,45,1,8,0,2,0,12,0,1,7.5,255,7.5,255,14:04,127,37,57,16
6,2010-11,TBL,26,80,56,0,12,2,0,1,13,2,0,7.7,306,7.7,306,13:59,109,37,45,24
7,2011-12,FLA,27,62,48,-5,11,5,1,2,6,0,0,9.2,292,9.2,292,16:25,109,21,29,16
8,2013-14,FLA,29,62,40,-16,13,3,0,3,12,1,0,8.4,310,8.4,310,16:30,111,18,27,16
9,2014-15,TOT,30,56,40,-2,9,0,0,2,8,2,0,8.3,187,8.3,187,13:07,72,13,34,10
10,2014-15,FLA,30,39,34,2,8,0,0,2,8,2,0,9.5,146,9.5,146,14:09,48,7,27,7
11,2014-15,MIN,30,17,6,-4,1,0,0,0,0,0,0,4.2,41,4.2,41,10:45,24,6,7,3
