,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2002-03,FLA,19,82,14,-29,2,2,0,0,4,8,0,3.6,,3.6,,20:09,,,,
2,2003-04,FLA,20,61,30,-15,2,0,0,0,8,9,1,2.4,,2.4,,23:02,,,,
3,2005-06,FLA,22,82,79,1,5,0,0,0,25,16,0,2.6,,2.6,,25:29,,,,
4,2006-07,FLA,23,82,66,23,9,3,0,3,22,8,0,6.9,,6.9,,26:09,,,,
5,2007-08,FLA,24,82,72,-5,11,4,0,0,12,10,0,8.2,332,8.2,332,27:28,105,118,19,65
6,2008-09,FLA,25,82,68,-2,6,9,0,2,15,11,1,8.2,361,8.2,361,26:59,115,128,27,51
7,2009-10,CGY,26,82,48,-4,2,1,0,0,13,11,2,2.3,292,2.3,292,25:55,72,125,24,55
8,2010-11,CGY,27,82,44,-2,3,1,0,1,13,7,0,3.3,270,3.3,270,25:59,72,134,23,57
9,2011-12,CGY,28,82,26,-21,3,2,0,1,16,8,0,4.7,240,4.7,240,25:57,69,118,25,60
10,2012-13,TOT,29,47,22,-6,6,1,0,0,7,6,2,8.9,155,8.9,155,24:38,41,61,11,28
11,2012-13,CGY,29,33,16,-11,5,1,0,0,4,4,1,10.9,109,10.9,109,25:10,33,51,5,24
12,2012-13,STL,29,14,6,5,1,0,0,0,3,2,1,4.2,46,4.2,46,23:24,8,10,6,4
13,2013-14,STL,30,82,20,26,3,1,0,0,23,10,0,2.6,289,2.6,289,24:03,51,106,18,22
14,2014-15,STL,31,72,24,7,2,0,0,0,7,4,0,2.2,199,2.2,199,22:40,42,99,14,18
15,2015-16,STL,32,72,18,-4,2,1,0,0,15,1,0,2.9,230,2.9,230,23:07,71,110,11,30
16,2016-17,STL,33,23,14,-6,1,0,0,0,3,0,0,3.2,64,3.2,64,22:53,21,26,5,14
