,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2003-04,DAL,20,27,14,-6,0,1,0,0,2,3,0,2.9,,2.9,,16:02,,,,
2,2005-06,DAL,22,81,87,-2,3,0,0,1,5,5,1,3.3,,3.3,,18:40,,,,
3,2006-07,DAL,23,74,63,2,4,0,0,1,6,2,0,5.9,,5.9,,19:23,,,,
4,2007-08,DAL,24,82,85,-1,5,0,0,1,13,5,1,5.7,178,5.7,178,19:48,32,63,24,34
5,2008-09,DAL,25,75,73,2,7,0,0,2,16,1,1,6.7,195,6.7,195,21:00,30,98,22,31
6,2009-10,DAL,26,77,25,3,4,2,0,2,12,3,1,5.6,209,5.6,209,22:11,36,131,23,37
7,2010-11,DAL,27,82,34,7,6,2,0,1,16,3,0,6.1,293,6.1,293,22:29,32,124,34,42
8,2011-12,DAL,28,79,42,3,3,1,0,2,16,5,0,3.0,283,3.0,283,21:39,45,115,22,25
9,2012-13,DAL,29,44,14,1,2,2,0,0,7,1,1,6.9,147,6.9,147,21:25,27,69,10,20
10,2013-14,DAL,30,67,38,10,8,1,0,3,13,3,0,8.4,229,8.4,229,21:09,42,94,15,21
11,2014-15,DAL,31,68,34,-13,8,6,2,2,16,6,0,14.2,244,14.2,244,22:53,29,123,29,32
12,2015-16,TOT,32,82,34,9,5,1,0,0,14,8,0,4.6,273,4.6,273,18:26,42,79,17,28
13,2015-16,CHI,32,29,8,1,0,0,0,0,4,2,0,0.0,101,0.0,101,14:46,19,19,3,11
14,2015-16,PIT,32,53,26,8,5,1,0,0,10,6,0,6.9,172,6.9,172,20:27,23,60,14,17
15,2016-17,PIT,33,23,12,0,1,1,0,0,4,1,1,6.1,77,6.1,77,21:11,6,38,13,10
