,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2003-04,MTL,20,2,0,0,0,0,0,0,0,0,0,</td,,</td,,6:18,,,,
2,2005-06,MTL,22,80,26,-1,13,7,3,3,10,5,0,15.5,,15.5,,14:25,,,,
3,2006-07,MTL,23,61,26,-11,11,8,3,3,9,7,0,13.8,,13.8,,17:54,,,,
4,2007-08,MTL,24,82,22,0,15,12,0,5,11,13,1,11.2,399,11.2,399,17:57,76,65,50,18
5,2008-09,MTL,25,57,22,-1,8,2,2,1,9,2,0,7.9,263,7.9,263,16:00,79,39,40,20
6,2009-10,TOT,26,67,32,-9,8,0,0,1,8,1,0,4.8,277,4.8,277,17:33,128,44,43,14
7,2009-10,NYR,26,55,32,-9,6,0,0,1,7,1,0,4.4,229,4.4,229,17:55,111,40,33,13
8,2009-10,CGY,26,12,0,0,2,0,0,0,1,0,0,7.1,48,7.1,48,15:52,17,4,10,1
9,2010-11,TOT,27,62,16,5,12,1,0,0,14,0,1,8.1,257,8.1,257,16:18,80,36,40,12
10,2010-11,FLA,27,48,10,5,11,0,0,0,11,0,1,8.7,199,8.7,199,16:39,62,31,32,11
11,2010-11,VAN,27,14,6,0,1,1,0,0,3,0,0,5.9,58,5.9,58,15:07,18,5,8,1
12,2011-12,VAN,28,71,16,11,16,1,1,4,18,7,0,10.9,251,10.9,251,16:19,61,29,50,16
13,2012-13,VAN,29,41,10,-4,10,0,0,1,5,0,0,13.0,131,13.0,131,16:25,46,22,36,12
14,2013-14,VAN,30,78,30,-14,15,2,0,4,20,1,1,7.9,347,7.9,347,19:10,98,45,31,23
15,2014-15,VAN,31,77,16,8,9,3,0,1,22,2,0,7.0,283,7.0,283,15:47,73,34,28,19
16,2015-16,VAN,32,33,4,-14,2,0,1,0,1,0,0,5.9,86,5.9,86,13:47,15,18,7,8
