,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2002-03,CBJ,18,74,78,-27,11,6,0,2,12,10,0,11.0,,11.0,,13:57,,,,
2,2003-04,CBJ,19,80,87,-35,22,19,0,7,6,10,0,15.2,,15.2,,17:38,,,,
3,2005-06,CBJ,21,54,51,5,20,11,0,4,15,8,0,18.2,,18.2,,18:16,,,,
4,2006-07,CBJ,22,75,73,-8,17,9,1,5,15,13,2,11.8,,11.8,,19:12,,,,
5,2007-08,CBJ,23,80,95,2,24,10,4,6,19,12,0,11.6,521,11.6,521,20:29,67,30,56,30
6,2008-09,CBJ,24,78,52,11,29,6,5,5,25,13,1,15.2,471,15.2,471,21:10,71,29,70,34
7,2009-10,CBJ,25,76,58,-2,21,10,2,6,20,12,2,13.0,413,13.0,413,20:56,121,25,41,26
8,2010-11,CBJ,26,75,34,2,26,6,0,7,26,8,0,10.5,547,10.5,547,18:56,91,19,47,24
9,2011-12,CBJ,27,82,40,-19,22,6,2,2,16,13,0,9.8,506,9.8,506,19:05,104,21,62,26
10,2012-13,NYR,28,44,26,16,17,3,1,3,15,6,0,11.9,279,11.9,279,19:58,46,25,19,32
11,2013-14,NYR,29,65,36,10,20,4,2,9,8,3,2,10.1,415,10.1,415,17:01,11,29,51,49
12,2014-15,NYR,30,79,36,29,32,6,4,8,20,6,1,13.8,494,13.8,494,17:27,45,33,74,42
13,2015-16,NYR,31,60,30,8,11,4,0,4,18,2,1,8.2,320,8.2,320,16:56,69,24,45,40
14,2016-17,NYR,32,24,12,0,7,3,0,1,4,2,0,14.5,108,14.5,108,16:17,15,18,19,20
