,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2005-06,CGY,22,2,0,-1,0,0,0,0,0,0,0,</td,,</td,,12:01,,,,
2,2007-08,CGY,24,44,48,-5,3,0,0,0,7,0,0,7.1,79,7.1,79,11:30,68,17,16,9
3,2008-09,CGY,25,76,89,-7,4,0,1,3,3,0,2,6.0,139,6.0,139,9:16,76,35,18,14
4,2009-10,CGY,26,82,54,0,11,0,0,2,8,0,0,12.1,180,12.1,180,13:11,116,51,35,20
5,2010-11,MIN,27,82,30,-16,3,1,0,0,8,0,0,4.8,163,4.8,163,13:19,169,31,19,17
6,2011-12,DAL,28,74,24,-10,16,0,0,1,5,0,0,15.7,187,15.7,187,13:45,176,38,20,24
7,2012-13,DAL,29,48,61,-3,6,0,1,3,4,0,0,14.3,107,14.3,107,14:21,122,26,19,12
8,2013-14,NSH,30,79,60,-25,14,0,1,1,6,0,0,12.5,208,12.5,208,14:52,154,35,26,16
9,2014-15,NSH,31,60,15,0,6,0,1,1,5,0,0,11.7,97,11.7,97,13:12,104,29,9,11
10,2015-16,NSH,32,46,20,-6,6,0,1,1,0,0,0,25.9,50,25.9,50,11:29,92,26,6,6
