,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2002-03,TOR,19,1,0,1,1,0,0,0,0,0,0,100.,,100.,,11:00,,,,
2,2003-04,TOR,20,69,22,7,14,0,0,0,12,0,1,22.2,,22.2,,11:00,,,,
3,2005-06,TOR,22,80,50,5,8,3,4,5,7,1,4,18.1,,18.1,,11:38,,,,
4,2006-07,TOR,23,82,44,3,8,1,1,1,23,6,0,7.6,,7.6,,16:09,,,,
5,2007-08,TOR,24,82,47,-11,13,2,1,3,11,6,0,12.6,217,12.6,217,18:54,89,47,52,41
6,2008-09,TOR,25,76,54,-4,9,5,1,1,32,6,2,13.2,192,13.2,192,16:56,112,46,43,34
7,2009-10,TOT,26,82,32,-6,12,7,0,4,28,8,2,14.4,216,14.4,216,18:55,75,41,40,44
8,2009-10,TOR,26,55,30,-3,9,7,0,2,18,6,1,16.2,167,16.2,167,18:47,52,29,29,26
9,2009-10,CGY,26,27,2,-3,3,0,0,2,10,2,1,9.1,49,9.1,49,19:11,23,12,11,18
10,2010-11,CGY,27,76,32,1,5,0,1,0,23,1,1,7.4,148,7.4,148,14:14,66,24,52,39
11,2011-12,CGY,28,61,29,-3,8,0,0,1,8,2,0,10.4,121,10.4,121,13:01,49,33,28,21
12,2012-13,CGY,29,43,26,7,5,0,0,1,18,0,0,11.4,76,11.4,76,17:10,47,30,24,17
13,2013-14,CGY,30,63,42,-13,13,0,1,2,16,1,2,20.0,129,20.0,129,18:22,74,36,49,40
14,2014-15,CGY,31,59,28,7,7,0,0,0,9,0,1,15.2,93,15.2,93,11:00,72,21,33,30
15,2015-16,CGY,32,80,52,-4,4,0,2,0,10,0,1,10.3,111,10.3,111,12:42,77,45,34,34
16,2016-17,CGY,33,26,10,4,2,0,0,0,5,0,0,8.7,46,8.7,46,13:35,23,20,9,4
