,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2005-06,TOR,21,75,42,-9,8,9,1,3,17,10,0,10.2,,10.2,,17:37,,,,
2,2006-07,TOR,22,82,26,5,11,4,0,5,16,3,1,7.8,,7.8,,15:42,,,,
3,2007-08,TOR,23,76,32,0,12,2,1,2,20,7,0,8.9,320,8.9,320,18:05,62,36,27,46
4,2008-09,TOT,24,81,30,-10,4,3,1,0,13,7,0,5.4,260,5.4,260,16:20,38,54,31,16
5,2008-09,TOR,24,20,6,-4,1,1,0,0,2,0,0,6.5,54,6.5,54,15:38,12,14,9,4
6,2008-09,STL,24,61,24,-6,3,2,1,0,11,7,0,5.1,206,5.1,206,16:34,26,40,22,12
7,2009-10,STL,25,68,30,6,15,7,2,4,14,9,0,12.7,336,12.7,336,16:17,45,39,24,20
8,2010-11,STL,26,72,26,-3,17,1,2,5,22,9,0,9.2,457,9.2,457,19:33,39,28,29,25
9,2011-12,STL,27,43,28,24,12,3,0,3,11,2,0,11.2,278,11.2,278,19:08,24,29,22,14
10,2012-13,STL,28,40,14,5,5,3,0,3,13,6,0,6.2,240,6.2,240,18:00,28,22,13,13
11,2013-14,STL,29,68,46,17,25,7,1,9,17,10,2,15.6,440,15.6,440,20:17,43,28,42,12
12,2014-15,STL,30,74,33,8,16,8,0,5,24,16,0,10.8,413,10.8,413,19:59,32,37,39,31
13,2015-16,STL,31,67,48,3,14,2,1,2,16,19,0,9.9,292,9.9,292,20:22,50,35,36,20
14,2016-17,STL,32,17,27,-8,2,0,0,0,5,3,0,6.7,56,6.7,56,19:42,8,11,7,4
