,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2005-06,PIT,21,48,59,-12,3,0,2,1,3,0,0,11.1,,11.1,,10:58,,,,
2,2006-07,PIT,22,75,53,-2,9,0,4,4,10,1,0,14.8,,14.8,,13:54,,,,
3,2007-08,PIT,23,63,53,8,10,0,2,1,13,1,0,15.0,119,15.0,119,15:28,66,37,18,18
4,2008-09,PIT,24,75,63,-9,10,0,2,1,9,1,0,11.8,173,11.8,173,14:08,115,47,21,22
5,2009-10,PIT,25,45,30,-9,2,0,0,0,5,0,0,4.1,86,4.1,86,12:13,77,14,7,7
6,2010-11,PIT,26,82,66,-3,6,0,2,2,12,0,1,6.8,185,6.8,185,15:04,154,40,26,17
7,2011-12,PHI,27,81,59,5,16,1,2,2,13,1,1,16.5,194,16.5,194,15:00,150,58,30,21
8,2012-13,PHI,28,35,23,2,4,0,1,0,5,0,0,12.2,69,12.2,69,15:26,57,27,9,9
9,2013-14,TOT,29,81,45,5,7,0,1,1,18,1,0,6.5,196,6.5,196,16:10,116,46,37,20
10,2013-14,PHI,29,11,2,1,1,0,0,0,1,0,0,7.1,24,7.1,24,15:08,11,8,4,5
11,2013-14,COL,29,70,43,4,6,0,1,1,17,1,0,6.4,172,6.4,172,16:19,105,38,33,15
12,2014-15,TOT,30,81,29,-1,5,0,0,1,13,0,0,5.2,145,5.2,145,13:37,132,51,44,16
13,2014-15,COL,30,63,27,2,5,0,0,1,10,0,0,6.8,116,6.8,116,14:00,86,41,37,14
14,2014-15,BOS,30,18,2,-3,0,0,0,0,3,0,0,0.0,29,0.0,29,12:13,46,10,7,2
15,2015-16,BOS,31,38,15,-11,2,0,0,1,4,1,0,6.9,43,6.9,43,11:13,66,28,9,0
