,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,PHX,23,518,576,47.3,-3.8,413,462,47.2,-5.0,5.8,95.4,101.,48.5,51.5
2,2008-09,TOT,24,663,812,44.9,-3.6,494,606,44.9,-4.0,6.2,91.3,97.5,55.0,45.0
3,2008-09,PHX,24,467,617,43.1,-4.6,358,462,43.7,-4.3,5.8,91.3,97.1,57.4,42.6
4,2008-09,PHI,24,196,195,50.1,-0.5,136,144,48.6,-2.4,7.1,91.5,98.7,47.4,52.6
5,2009-10,PHI,25,672,722,48.2,-4.6,506,504,50.1,-3.8,8.1,93.2,101.,47.0,53.0
6,2010-11,PHI,26,353,443,44.3,-6.3,255,319,44.4,-7.1,3.6,90.6,94.2,41.0,59.0
7,2011-12,CHI,27,288,238,54.8,3.3,219,176,55.4,3.0,11.3,94.1,105.,62.4,37.6
8,2012-13,CHI,28,186,151,55.2,-2.7,129,104,55.4,-3.8,8.4,89.6,98.0,68.3,31.7
9,2013-14,TOT,29,473,467,50.3,-5.6,365,339,51.8,-3.8,5.6,93.8,99.3,43.0,57.0
10,2013-14,LAK,29,243,213,53.3,-6.1,182,154,54.2,-3.2,5.0,93.5,98.4,51.8,48.2
11,2013-14,NYR,29,230,254,47.5,-6.3,183,185,49.7,-4.8,6.1,94.0,100.,32.6,67.4
12,2014-15,CHI,30,292,299,49.4,-4.6,213,212,50.1,-2.9,6.8,95.0,101.,41.8,58.2
