,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,DAL,22,37,43,46.3,-6.3,30,39,43.5,-8.5,21.7,86.2,107.,73.1,26.9
2,2008-09,TOT,23,785,813,49.1,-1.4,625,621,50.2,-1.7,6.5,91.5,98.0,45.8,54.2
3,2008-09,DAL,23,99,100,49.7,-3.4,83,79,51.2,-1.4,11.1,87.3,98.4,47.1,52.9
4,2008-09,STL,23,686,713,49.0,-0.8,542,542,50.0,-1.7,5.8,92.1,98.0,45.5,54.5
5,2009-10,STL,24,663,750,46.9,-7.1,495,581,46.0,-8.3,6.2,92.4,98.6,44.6,55.4
6,2010-11,STL,25,784,818,48.9,-4.2,578,607,48.8,-5.0,6.3,89.7,96.0,49.0,51.0
7,2011-12,STL,26,265,241,52.4,-4.0,194,170,53.3,-4.9,3.0,95.0,98.0,51.7,48.3
8,2012-13,TBL,27,308,364,45.8,-1.9,250,268,48.3,0.9,6.3,96.3,102.,30.1,69.9
9,2013-14,TBL,28,402,434,48.1,-2.8,303,323,48.4,-3.0,5.1,93.8,98.9,47.5,52.5
10,2014-15,ARI,29,364,483,43.0,-6.4,259,362,41.7,-6.8,5.3,93.9,99.2,43.3,56.7
