,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,ATL,23,879,1239,41.5,-4.0,677,943,41.8,-3.8,11.0,91.9,102.,43.0,57.0
2,2008-09,ATL,24,1111,1283,46.4,-3.4,863,990,46.6,-4.2,11.5,91.2,102.,43.2,56.8
3,2009-10,ATL,25,1315,1257,51.1,2.1,983,988,49.9,1.0,8.7,90.7,99.4,48.1,51.9
4,2010-11,ATL,26,1332,1271,51.2,1.7,1005,964,51.0,-0.3,8.1,90.8,99.0,55.5,44.5
5,2011-12,WPG,27,1263,1039,54.9,5.0,964,802,54.6,3.7,8.8,90.8,99.6,53.4,46.6
6,2012-13,WPG,28,371,372,49.9,-3.9,286,266,51.8,-1.0,7.1,89.3,96.4,51.3,48.7
7,2013-14,WPG,29,1436,1374,51.1,-0.9,1080,1026,51.3,-0.7,7.5,91.8,99.3,51.3,48.7
8,2014-15,WPG,30,982,921,51.6,-0.6,735,690,51.6,0.2,10.9,91.7,102.,53.7,46.3
9,2015-16,WPG,31,1152,1057,52.2,0.4,843,815,50.8,-0.9,8.9,92.1,101.,51.4,48.6
10,2016-17,WPG,32,324,329,49.6,0.4,233,254,47.8,-1.2,9.5,91.2,100.,49.2,50.8
