,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,VAN,23,928,934,49.8,-1.3,713,691,50.8,0.0,7.5,92.2,99.7,38.9,61.1
2,2008-09,VAN,24,972,940,50.8,1.5,743,715,51.0,2.2,9.9,91.3,101.,42.4,57.6
3,2009-10,VAN,25,1206,990,54.9,5.8,914,781,53.9,4.8,8.7,89.9,98.6,44.8,55.2
4,2010-11,VAN,26,1343,992,57.5,5.7,981,722,57.6,6.3,8.6,93.0,101.,49.6,50.4
5,2011-12,VAN,27,1195,970,55.2,2.3,874,724,54.7,3.7,7.6,93.4,101.,48.8,51.2
6,2012-13,VAN,28,208,211,49.6,-5.3,146,161,47.6,-7.0,10.1,88.3,98.4,47.1,52.9
7,2013-14,VAN,29,1253,1143,52.3,-1.0,936,850,52.4,-0.3,7.0,90.2,97.3,49.2,50.8
8,2014-15,ANA,30,1151,1128,50.5,-0.7,841,852,49.7,-2.3,8.8,90.4,99.2,46.7,53.3
9,2015-16,ANA,31,1153,1017,53.1,1.1,873,719,54.8,2.4,7.9,91.5,99.4,38.8,61.2
10,2016-17,ANA,32,326,314,50.9,2.6,248,222,52.8,4.8,8.3,96.2,104.,33.8,66.2
