,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,ANA,23,190,185,50.7,-8.3,146,140,51.0,-7.7,5.8,93.1,98.8,53.3,46.7
2,2008-09,ANA,24,236,236,50.0,-6.0,186,187,49.9,-7.2,7.4,92.3,99.7,48.9,51.1
3,2009-10,TOT,25,690,656,51.3,-2.7,521,485,51.8,-1.5,5.4,94.8,100.,48.4,51.6
4,2009-10,TBL,25,90,84,51.7,3.6,62,59,51.2,2.6,0.0,93.0,93.0,25.8,74.2
5,2009-10,DET,25,600,572,51.2,-3.9,459,426,51.9,-2.3,6.1,95.0,101.,52.5,47.5
6,2010-11,DET,26,598,547,52.2,-2.5,459,411,52.8,-1.3,7.2,90.2,97.4,56.9,43.1
7,2011-12,DET,27,794,679,53.9,-1.5,609,497,55.1,-0.3,7.7,92.3,100.,61.2,38.8
8,2012-13,DET,28,390,445,46.7,-7.6,300,328,47.8,-6.4,4.5,92.6,97.1,54.6,45.4
9,2013-14,DET,29,694,751,48.0,-6.1,546,559,49.4,-4.0,6.8,90.8,97.6,44.8,55.2
10,2014-15,DET,30,547,759,41.9,-14.,418,575,42.1,-12.,7.3,93.6,100.,34.7,65.3
11,2015-16,DET,31,179,291,38.1,-14.,145,231,38.6,-12.,5.8,93.0,98.8,27.5,72.5
12,2016-17,DET,32,97,162,37.5,-10.,73,122,37.4,-10.,5.3,90.1,95.4,36.8,63.2
