,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,MTL,23,305,418,42.2,-9.0,232,305,43.2,-7.7,12.0,93.8,105.,46.5,53.5
2,2008-09,MTL,24,427,507,45.7,-4.8,314,374,45.6,-4.5,6.9,91.5,98.4,49.5,50.5
3,2009-10,MTL,25,623,793,44.0,-4.4,451,577,43.9,-6.9,6.5,94.0,100.,47.4,52.6
4,2010-11,TOT,26,986,1154,46.1,-3.4,722,850,45.9,-2.9,7.6,92.1,99.7,41.9,58.1
5,2010-11,MTL,26,36,49,42.4,-1.7,24,33,42.1,0.3,7.1,95.7,102.,42.1,57.9
6,2010-11,COL,26,950,1105,46.2,-3.5,698,817,46.1,-3.0,7.6,92.0,99.6,41.9,58.1
7,2011-12,COL,27,939,1118,45.6,-9.5,686,839,45.0,-8.8,7.2,93.2,100.,31.9,68.1
8,2012-13,TOT,28,542,730,42.6,-5.5,407,544,42.8,-6.1,9.2,92.1,101.,47.4,52.6
9,2012-13,COL,28,454,571,44.3,-5.3,337,425,44.2,-7.3,8.5,90.7,99.1,47.3,52.7
10,2012-13,TOR,28,88,159,35.6,-6.9,70,119,37.0,-1.3,12.8,97.6,110.,48.4,51.6
