,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,SJS,23,751,662,53.1,-1.8,593,457,56.5,0.8,6.9,91.3,98.1,56.4,43.6
2,2008-09,SJS,24,1091,898,54.9,0.1,852,650,56.7,1.8,7.2,91.5,98.8,47.9,52.1
3,2009-10,SJS,25,1020,912,52.8,1.3,767,693,52.5,1.5,8.3,90.8,99.1,48.8,51.2
4,2010-11,SJS,26,1165,884,56.9,4.7,877,645,57.6,5.4,7.6,92.4,100.,43.7,56.3
5,2011-12,SJS,27,1425,1162,55.1,3.6,1046,842,55.4,2.0,8.5,92.5,101.,47.8,52.2
6,2012-13,SJS,28,714,629,53.2,3.5,520,428,54.9,3.3,7.2,91.8,99.0,50.9,49.1
7,2013-14,SJS,29,1377,1078,56.1,4.0,1018,788,56.4,2.8,8.4,94.0,102.,47.7,52.3
8,2014-15,SJS,30,1407,1061,57.0,8.3,1014,745,57.6,9.4,8.9,91.6,100.,51.5,48.5
9,2015-16,SJS,31,1345,1077,55.5,6.1,1001,758,56.9,6.1,10.7,91.2,101.,55.4,44.6
10,2016-17,SJS,32,388,328,54.2,2.6,276,225,55.1,3.0,10.1,90.7,100.,60.8,39.2
